,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
44,CENTRALBK,7244937.0,31.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
45,CESC,1019097.0,76.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,
46,CGPOWER,953333.0,270.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
47,CHAMBLFERT,2614474.0,317.0,,,,,,No,No,No,,UpTrend,,Yes,21,Yes,,Yes,,,63,,,,CMO greater than 25 Buy Signal 
48,CHENNPETRO,424924.0,208.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
49,CHOLAFIN,3139578.0,683.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,CMO less than -25 Sell Signal 
50,CIPLA,1605636.0,1088.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO less than -25 Sell Signal 
51,COALINDIA,8810867.0,218.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,
52,COCHINSHIP,883052.0,517.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,,,,,,
53,CONCOR,730041.0,740.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,
54,CONFIPET,1325430.0,78.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
55,COROMANDEL,729608.0,902.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,
56,CROMPTON,1204516.0,338.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
57,CSBBANK,613354.0,251.0,,,,,,No,No,Yes,No,UpTrend,Yes,,,,,Yes,,,,,,,
58,CUB,1574134.0,177.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
59,DAAWAT,710854.0,116.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
60,DABUR,2641261.0,572.0,,,,,,No,No,No,,DownTrend,,,,,Yes,,,,,,Yes,,
61,DCAL,179695.0,92.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
62,DCBBANK,1562173.0,129.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
63,DEEPAKFERT,421251.0,707.0,,,,,,Yes,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 29.523138007363013
64,DELTACORP,1617813.0,214.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
65,DEN,432045.0,34.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
66,DEVYANI,2983354.0,173.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,
