,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
191,MAHINDCIE,598484.0,340.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,Yes,,Yes,,,63,,,,CMO > 25 and < 30 Strong Buy Signal => 26.103914376361153
192,MANAPPURAM,5399406.0,120.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
193,MARICO,2901668.0,515.0,,,,,,No,No,Yes,,DownTrend,,,,,,Yes,,,,,Yes,,
194,MARKSANS,618583.0,58.0,,,,,,No,No,No,No,DownTrend,,,,,,,,,,,,,
195,MARUTI,417612.0,8461.0,,,,,,Yes,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
196,MAXHEALTH,1176596.0,440.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
197,MAZDOCK,2698759.0,814.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
198,MCDOWELL-N,1124927.0,850.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,CMO less than -25 Sell Signal 
199,MFSL,2351151.0,735.0,,,,,,No,No,No,,DownTrend,,Yes,21,Yes,Yes,,,,,,,,CMO greater than 25 Buy Signal 
200,MIDHANI,262145.0,218.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 251,,,,,CMO greater than 25 Buy Signal 
201,MMTC,5714395.0,37.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 41,,,,,
202,MOREPENLAB,6452305.0,35.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 42,,,,,
203,MOTHERSON,4882174.0,75.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
204,MRPL,1460928.0,56.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
205,MSUMI,1683661.0,56.0,,,,,,,No,No,No,DownTrend,Yes,,,,,,,,,,Yes,,
206,MUTHOOTFIN,389879.0,1081.0,,,,,,No,Yes,No,No,DownTrend,,,,,,Yes,,,,,,,
207,NATIONALUM,18649553.0,81.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,Yes,,CMO greater than 25 Buy Signal 
208,NAVA,768728.0,246.0,,,,,,No,No,Yes,Yes,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO greater than 25 Buy Signal 
209,NBCC,4253653.0,39.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
210,NCC,12274527.0,93.0,,,,,,No,No,No,No,UpTrend,,Yes,252,,Yes,,,,63,,,,CMO greater than 25 Buy Signal 
211,NETWORK18,663385.0,65.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 73,,,,,
212,NFL,9124737.0,75.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 27.770179694665604
213,NHPC,7071932.0,39.0,,,,,,No,No,No,Yes,DownTrend,,,,,,,,,,Yes,,,
214,NIACL,4048409.0,135.0,,,,,,No,No,Yes,No,UpTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
215,NLCINDIA,1819142.0,84.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,Yes,,
216,NTPC,18882210.0,169.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 28.368843446717516
217,NYKAA,2160979.0,154.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
218,OIL,752446.0,210.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,
219,ONGC,16319506.0,146.0,,,,,,No,No,No,No,DownTrend,Yes,,,,Yes,,,,,,Yes,,
220,ORIENTCEM,4018251.0,139.0,,,,,,No,No,No,Yes,DownTrend,,Yes,126,,Yes,,,,63,,,,CMO greater than 25 Buy Signal 
221,PAISALO,308595.0,77.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
222,PARADEEP,2053196.0,59.0,,,,,,,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 29.41176950575387
223,PAYTM,1525798.0,541.0,,,,,,No,No,No,,UpTrend,,Yes,,Yes,,Yes,,,21,,,,CMO greater than 25 Buy Signal 
224,PCBL,580541.0,128.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
225,PETRONET,3053422.0,220.0,,,,,,No,No,No,Yes,DownTrend,,Yes,63,,Yes,,,,63,,,,CMO greater than 25 Buy Signal 
226,PFC,11379828.0,156.0,,,,,,No,No,No,No,DownTrend,,Yes,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
227,PNB,82145583.0,56.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,
228,PNBHOUSING,2912399.0,562.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,,Yes,False,CMO > 25 and < 30 Strong Buy Signal => 29.346913670984986
229,PNCINFRA,691525.0,304.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO greater than 25 Buy Signal 
230,POLICYBZR,2355725.0,464.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,Yes,,,,,,,,
231,POONAWALLA,2261722.0,292.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 28.27871069413459
232,POWERGRID,15953148.0,208.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
233,PRAJIND,567895.0,368.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
234,PRSMJOHNSN,1343038.0,109.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,Before wait for breakout of resistance => 129,,,,,
235,PVR,418715.0,1676.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,
236,RAILTEL,1633969.0,128.0,,,,,True,No,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,,,
237,RAIN,2188726.0,177.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,,21,,,,
238,RAYMOND,384769.0,1479.0,,,,,,Yes,Yes,Yes,No,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1608,,,Yes,"Yes 
 Irresptive of candle (green/red) 
 exit on crossing downward 10 EMA middle line 
",
239,RBLBANK,21905705.0,186.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,Yes,,,,63,,Yes,,CMO greater than 25 Buy Signal 
240,RCF,11996951.0,133.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
241,RECLTD,9762508.0,123.0,,,,,,No,No,No,No,DownTrend,,Yes,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
242,REDINGTON,2509275.0,188.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
243,RELIANCE,6291619.0,2514.0,,,,,,No,Yes,No,,DownTrend,,,,,,Yes,,,,Yes,,,CMO less than -25 Sell Signal 
244,RELIGARE,1457352.0,178.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
245,RELINFRA,1119054.0,133.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
246,RENUKA,4964595.0,56.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
247,RHIM,305453.0,877.0,,,,,,Yes,Yes,Yes,No,UpTrend,,Yes,2510,,,Yes,,,63,,,False,CMO greater than 25 Buy Signal 
248,RITES,351749.0,335.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,,,,,,Yes,,
249,RKFORGE,365137.0,252.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,,,,,,,,
250,RPOWER,8075051.0,14.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
251,RTNINDIA,613020.0,42.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
252,RTNPOWER,4900028.0,4.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO greater than 25 Buy Signal 
253,RVNL,6978379.0,72.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
254,SAIL,24316108.0,87.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,Yes,,CMO greater than 25 Buy Signal 
255,SBICARD,636989.0,779.0,,,,,,No,No,No,,UpTrend,,,,,,,,,,Yes,,,
256,SBILIFE,878764.0,1267.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,
257,SBIN,8240396.0,605.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
258,SCHNEIDER,5172271.0,186.0,,,,,,No,No,No,Yes,DownTrend,,Yes,21,Yes,Yes,,,Today wait for breakout of resistance => 186.25,63,,,,CMO greater than 25 Buy Signal 
259,SEQUENT,272968.0,86.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 94,,,,,
260,SHARDACROP,123497.0,486.0,,,,,,Yes,No,Yes,Yes,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 498,,,,,CMO > 25 and < 30 Strong Buy Signal => 26.508008402832893
261,SHILPAMED,60590.0,282.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 289,,,,,CMO > 25 and < 30 Strong Buy Signal => 27.767042299758643
262,SHRIRAMFIN,461694.0,1319.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,,,,,,,,
263,SJVN,9812276.0,34.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,Yes,,
264,SONACOMS,617978.0,415.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
265,SOUTHBANK,42771074.0,19.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
266,SPARC,216429.0,210.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 215,,,Yes,,
267,SPICEJET,1997371.0,38.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 42,,,,,
268,SRF,266378.0,2266.0,,,,,,Yes,No,No,,DownTrend,,,,,,,,,,,,,
269,STAR,252219.0,356.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,,,,,,,,
270,STEELXIND,2074670.0,14.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
271,STLTECH,412877.0,172.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 186,,,Yes,,
272,SUBEXLTD,9216184.0,35.0,,,,,,No,No,No,Yes,DownTrend,,Yes,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
273,SUNPHARMA,2246404.0,1016.0,,,,,,No,Yes,No,No,DownTrend,,Yes,,,Yes,,,,,,Yes,,
274,SUNTV,260373.0,481.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
275,SURYODAY,662188.0,114.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 123,,,,,
276,SUVENPHAR,238244.0,491.0,,,,,,No,No,Yes,Yes,DownTrend,,,,,,Yes,,,,,,,
277,SUZLON,142699316.0,10.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
278,SWANENERGY,559500.0,322.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
279,TATACHEM,834472.0,942.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
280,TATACOFFEE,866008.0,221.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,63,,,,
281,TATACOMM,421233.0,1326.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 27.1876850014107
282,TATACONSUM,3197445.0,763.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO less than -25 Sell Signal 
283,TATAMOTORS,10441250.0,386.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
284,TATAMTRDVR,1611648.0,207.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
285,TATAPOWER,10270028.0,207.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
286,TATASTEEL,58792148.0,116.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,Yes,,CMO greater than 25 Buy Signal 
287,TCS,1825389.0,3311.0,,,,,,No,Yes,No,No,DownTrend,,,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
288,TECHM,1375123.0,1011.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,
289,THOMASCOOK,184616.0,73.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 83,,,,,
290,THYROCARE,86417.0,605.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
291,TIMETECHNO,596734.0,93.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
292,TITAN,1544489.0,2562.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 26.079837980030845
293,TRENT,617515.0,1279.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,
294,TRIDENT,2393421.0,34.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
295,TRITURBINE,386935.0,244.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
296,TRIVENI,399159.0,283.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,Yes,,
297,TTML,951751.0,88.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
298,TV18BRDCST,2889709.0,37.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
299,TVSMOTOR,986801.0,1030.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1048,,,Yes,,
300,UCOBANK,22388109.0,32.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
301,UJJIVANSFB,8933988.0,30.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
302,UNIONBANK,18329837.0,80.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,Yes,,
303,UPL,1407181.0,720.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
304,USHAMART,1160698.0,182.0,,,,,,No,No,Yes,Yes,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
305,UTIAMC,209794.0,841.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 859,,,,,
306,VAKRANGEE,1196937.0,27.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
307,VBL,1752706.0,1308.0,,,,,,Yes,Yes,Yes,No,DownTrend,Yes,,,Yes,,Yes,,,63,,,False,
308,VEDL,6580813.0,311.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,
309,VIJAYA,87400.0,401.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,CMO less than -25 Sell Signal 
310,VOLTAS,1361116.0,809.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
311,WELCORP,339907.0,226.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
312,WELENT,266899.0,169.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 25.15966191351091
313,WELSPUNIND,687791.0,74.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
314,WIPRO,4782940.0,386.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,
315,WOCKPHARMA,1139314.0,235.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 236,63,,,,
316,YESBANK,206993869.0,21.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO greater than 25 Buy Signal 
317,ZEEL,4487874.0,239.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
318,ZENSARTECH,1328162.0,210.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,
319,ZOMATO,34445918.0,56.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 65,,,,,
320,ZYDUSLIFE,2084223.0,432.0,,,,,,No,No,No,No,DownTrend,,Yes,,,Yes,,,,21,,,,CMO greater than 25 Buy Signal 
