,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
77,ELECTCAST,1036746.0,38.0,No,No,No,Yes,,,,Yes,,,,
78,ENGINERSIN,22359029.0,84.0,No,No,No,Yes,,,Yes,,63,,,
79,EPL,177284.0,167.0,No,No,No,Yes,,,,,,,,
80,EQUITASBNK,4157413.0,59.0,No,No,No,Yes,,,Yes,,,,,
81,EXIDEIND,1361027.0,180.0,No,No,No,Yes,,,,,,,,
82,FACT,2809834.0,371.0,No,Yes,Yes,Yes,,,,Yes,63,,,Yes
83,FCL,172506.0,246.0,No,No,No,Yes,,,,,,,,
84,FEDERALBNK,8303952.0,136.0,No,No,No,Yes,,,,Yes,,,,
85,FILATEX,279146.0,44.0,No,No,No,Yes,,,,,,,,
86,FINPIPE,793431.0,184.0,No,No,Yes,Yes,,,,Yes,,,,
87,FORTIS,745802.0,287.0,No,No,No,,Yes,,Yes,,,,,
88,FSL,1159523.0,102.0,No,No,No,Yes,,,,,,,,
89,GABRIEL,366258.0,188.0,No,No,No,Yes,,,,Yes,,,,
90,GAIL,12376386.0,97.0,No,No,No,Yes,,,,Yes,63,,,
91,GATI,461000.0,139.0,No,No,No,Yes,,,,,,,,
92,GICRE,8172884.0,195.0,No,No,Yes,Yes,,,,Yes,,,,
93,GLENMARK,342415.0,434.0,No,No,No,Yes,,,,Yes,,,,
94,GMDCLTD,678241.0,148.0,No,No,No,Yes,,,,Yes,,,,
95,GMRINFRA,8057918.0,40.0,No,No,No,Yes,,,,,,,,
96,GNFC,1547954.0,572.0,Yes,No,No,Yes,,,Yes,,,,,
97,GODREJCP,3020873.0,916.0,No,No,Yes,,Yes,,Yes,,,,,
98,GPIL,459769.0,400.0,No,No,Yes,Yes,,,,Yes,,,,
99,GPPL,2392483.0,99.0,No,No,No,Yes,,,,Yes,,,,
100,GRANULES,508669.0,326.0,No,No,No,Yes,,,,,,,,
101,GREAVESCOT,641037.0,135.0,No,No,No,Yes,,,,,,,,
102,GRSE,636758.0,488.0,No,Yes,No,Yes,,,,Yes,,,,
103,GSFC,2687940.0,138.0,No,No,No,Yes,,,,Yes,,,,
