,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone,SellingClimax,PickVolumeBreakout
301,TRIVENI,338991,283,No,No,No,,,,,,,,,,Yes,,,
82,ELECTCAST,1281589,39,No,No,No,,,,,,Yes,,,,,,,
83,ENGINERSIN,2027041,80,No,No,No,,,,,,,Yes,,,,,,
84,EPL,168255,169,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 191
85,EQUITASBNK,2476344,59,No,No,No,,,,,,,Yes,,,,,,
86,EXIDEIND,1729288,180,No,No,No,,,,,,,,,,,,,
87,FACT,1333036,337,No,Yes,Yes,,,,,,,Yes,,,,,,
88,FCL,267839,252,No,No,No,,,,,,,,,,,,,
89,FEDERALBNK,24554724,137,No,No,No,,,,,,Yes,,63,,,,,
90,FILATEX,214079,45,No,No,No,,,,,,,,,,,,,
91,FINPIPE,816028,188,No,No,Yes,,,,,,,Yes,63,,,,,
92,FORTIS,280765,283,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 303
93,FSL,825496,103,No,No,No,,,,,,,,,,,,,
94,GABRIEL,318032,190,No,No,No,,,,,,,Yes,,,,,,
95,GAIL,6050701,96,No,No,No,,,,,,,Yes,,,,,,
96,GATI,246490,143,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 145
97,GICRE,8723871,196,No,No,Yes,,,,,,,Yes,63,,,,,
98,GLENMARK,735382,434,No,No,No,,,,,,,Yes,,,,,,
99,GMDCLTD,1049264,151,No,No,No,,,,,,,Yes,,,,,,
100,GMMPFAUDLR,254010,1601,No,No,No,,,,,,,,,,,,,
101,GMRINFRA,6123079,40,No,No,No,,,,,,,,,,,,,
102,GNFC,749246,567,Yes,No,No,,,,,,,Yes,,,,,,
103,GODREJCP,910243,892,No,No,Yes,,,,,,Yes,,,,,,,
104,GPIL,1139704,409,No,No,Yes,,,,,,Yes,,63,,,,,
105,GPPL,3493525,104,No,No,No,,,,,,,Yes,63,,,,,
106,GRANULES,1639085,326,No,No,No,,,,,,,Yes,,,,,,
107,GREAVESCOT,852027,137,No,No,No,,,,,,,Yes,,,,,,
108,GRSE,1734760,492,No,Yes,No,,,,,,Yes,,,,,,,
109,GSFC,2252791,139,No,No,No,,,,,,,Yes,,,,,,
110,GSPL,286139,272,No,No,No,,,,,,,Yes,,,,,,
111,GTLINFRA,10357178,1,No,No,No,,,,,,,,,,,,,
112,GUJGASLTD,866133,490,No,No,No,,,,,,,,,,,,,
113,HAL,554863,2539,Yes,Yes,No,,,,,,,,,,,,,
114,HATHWAY,2313547,17,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 19
115,HAVELLS,998602,1127,No,No,No,,,,,,,Yes,,,,,,
116,HBLPOWER,1551055,105,No,No,No,,,,,,,Yes,,,,,,
117,HCC,45280324,21,No,No,No,,,,,,,Yes,63,,,,,
118,HCLTECH,2484318,1041,No,Yes,No,,,,,,Yes,,,,,,,
119,HDFC,2262442,2664,No,Yes,No,,,,,,,Yes,,,,,,
120,HDFCBANK,4187907,1639,No,Yes,Yes,,,,,,,Yes,,,,,,
121,HDFCLIFE,10092755,595,No,No,No,,,,,,Yes,,21,,,,,
122,HEMIPROP,1672077,112,No,No,No,,,,,,Yes,,,,,,,Before wait for breakout of resistance => 113
123,HFCL,9278764,76,No,No,No,,,,,,,,,,,,,
124,HIKAL,3993225,416,No,No,Yes,,,,,,Yes,,63,,,,,
125,HIMATSEIDE,863440,83,No,No,No,,,,,,,Yes,,,,,,
126,HINDALCO,5903712,479,No,No,No,,,,,,,Yes,,,,,,
127,HINDCOPPER,4397378,116,No,No,No,,,,,,Yes,,,,,,,
128,HINDPETRO,1689575,237,No,No,No,,,,,,,Yes,,,,,,
129,HINDUNILVR,821537,2542,No,No,Yes,,,,,,,,,Yes,,,,
130,HINDZINC,1353520,331,No,No,No,,,,,,Yes,,63,,,,,
131,HSCL,936990,99,No,No,No,,,,,,,Yes,,,,,,
132,HUDCO,7581775,53,No,No,No,,,,,,,Yes,,,,,,
133,IBREALEST,5365187,83,No,No,No,,,,,,,Yes,,,,,,
134,IBULHSGFIN,13657223,150,No,No,No,,,,,,,Yes,,,,,,
135,ICICIBANK,5846160,901,No,No,No,,,,,,,,,,,,,
136,ICICIGI,1324002,1267,No,No,Yes,,,,,,Yes,,21,,,,,
137,ICICIPRULI,4107703,468,No,No,No,,,,,,Yes,,,,,,,
138,IDBI,10000026,55,No,No,No,,,,,,,Yes,,,,,,
139,IDEA,108153946,7,No,No,No,,,,,,,,,,,,,
140,IDFC,7830025,84,No,No,No,,,,,,,Yes,63,,,,,
141,IDFCFIRSTB,38932324,61,No,No,No,,,,,,,Yes,,,,,,
142,IEX,3717628,142,No,No,No,,,,,,,Yes,,,,,,
143,IFCI,20363250,14,No,No,No,,,,,,,,63,,,,,
144,IGL,1123043,419,No,No,No,,,,,,,,,,,,,
145,IIFL,203160,466,No,Yes,Yes,,,,,,,,,,,,,
146,INDHOTEL,1658107,320,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 321
147,INDIACEM,1735234,222,No,No,No,,,,,,,,,,,,,
148,INDIANB,1965006,296,No,Yes,No,,,,,,,Yes,,,,,,
149,INDIGO,321586,2040,No,No,Yes,,,,,,,Yes,,,,,,
150,INDUSINDBK,2194830,1240,No,No,Yes,,,,,,,Yes,63,,,,,
151,INDUSTOWER,878615,189,No,No,No,,,,,,,,,Yes,,,,
152,INFIBEAM,8684851,16,No,No,No,,,,,,,,,,,,,
153,INFY,4550173,1522,No,Yes,No,,,,,,,,,,,,,
154,INOXWIND,289843,108,No,No,No,,,,,,,,,Yes,,,,
155,IOB,83019250,32,No,No,No,,,,,,,Yes,,,,,,
156,IOC,11485237,78,No,No,No,,,,,,,Yes,,,,,,
157,IOLCP,637241,371,No,No,Yes,,,,,,,Yes,,,Yes,,,Before wait for breakout of resistance => 399
158,IRB,8845505,314,No,No,Yes,,,,,,Yes,,63,,,,,
187,LAURUSLABS,1430946,377,No,No,No,,,,,,,,,,Yes,,,
160,IRCTC,2364166,644,No,No,No,,,,,,,,,,,,,
161,IRFC,84788891,33,No,No,No,,,,,,,Yes,63,,,,,
162,ITC,5993839,331,No,No,No,,,,,,,,,,,,,
163,J&KBANK,10545221,57,No,No,No,,,,,,,Yes,,,,,,
164,JAICORPLTD,1140281,151,No,No,No,,,,,,,,,,,,,
165,JAMNAAUTO,255745,105,No,No,No,,,,,,,,,,,,,
166,JBMA,236029,517,No,No,Yes,,,,,,,Yes,,,,,,
167,JINDALSAW,4025162,110,No,No,No,,,,,,Yes,,63,,,,,
168,JINDALSTEL,4002411,598,No,Yes,Yes,,,,,,,Yes,63,,,,,
19,AUROPHARMA,1449457,441,No,No,No,,,,,,,Yes,,,Yes,,,
170,JKPAPER,358105,416,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 439
171,JKTYRE,669066,188,No,No,No,,,,,,,,,,,,,
172,JMFINANCIL,888856,73,No,No,No,,,,,,,,,,,,,
173,JPASSOCIAT,14348284,10,No,No,No,,,,,,,,,,,,,
174,JPPOWER,37452508,7,No,No,No,,,,,,,,,,,,,
175,JSL,2168528,248,No,Yes,Yes,,,,,,,Yes,,,,,,
176,JSWENERGY,365468,289,No,No,No,,,,,,,Yes,,,,,,
177,JSWISPL,690505,32,No,No,No,,,,,,,Yes,,,,,,
178,JSWSTEEL,1635609,767,No,Yes,Yes,,,,,,,Yes,,,,,,
282,SUVENPHAR,1420089,493,No,No,No,,,,,,Yes,,,,Yes,,,
180,JYOTHYLAB,131924,204,No,No,No,,,,,,,,,,,,,
181,KALYANKJIL,2285043,124,No,No,Yes,,,,,,,Yes,,,,,,
179,JUBLFOOD,1233620,507,No,No,No,,,,,,,,,,Yes,,,
183,KOTAKBANK,1663289,1832,No,No,No,,,,,,,,,,,,,
184,KPITTECH,523379,691,No,Yes,No,,,,,,,,,,,,,
185,KTKBANK,3781803,158,No,Yes,No,,,,,,Yes,,,,,,,
186,L&TFH,8118831,90,No,No,No,,,,,,,Yes,,,,,,
199,MARICO,490250,510,No,No,Yes,,,,,,,,,,Yes,,,
188,LEMONTREE,1374129,83,No,No,No,,,,,,,Yes,,,,,,
189,LICHSGFIN,1101931,421,No,No,Yes,,,,,,,Yes,,,,,,
190,LICI,4839377,734,,No,Yes,,,,,,Yes,,,,,,,
191,LT,1259698,2088,No,Yes,Yes,,,,,,,,,Yes,,,,
54,COCHINSHIP,1849378,534,No,Yes,No,,,,,,,Yes,,,Yes,,,
193,LXCHEM,321061,299,No,No,No,,,,,,,,,,,,,
194,M&M,1510545,1249,Yes,No,No,,,,,,,,,,,,,
195,M&MFIN,11104923,234,No,No,No,,,,,,Yes,,,Yes,,,,
196,MAHABANK,54872789,32,No,No,No,,,,,,,Yes,,,,,,
197,MAHINDCIE,526304,337,No,No,Yes,,,,,,,Yes,,,,,,
198,MANAPPURAM,12926609,122,No,No,No,,,,,,Yes,,63,,,,,
33,BERGEPAINT,333536,579,No,No,No,,,,,,,,,,Yes,,,
200,MARKSANS,960820,59,No,No,No,,,,,,,,,,,,,
201,MARUTI,493182,8382,Yes,No,No,,,,,,,Yes,,,,,,
202,MAXHEALTH,396310,446,No,No,No,,,,,,,Yes,,,,,,
203,MAZDOCK,9015403,834,No,Yes,No,,,,,,Yes,,63,,,,,
204,MCDOWELL-N,750409,865,No,Yes,No,,,,,,,,,Yes,,,,
205,METROPOLIS,445207,1366,No,No,No,,,,,,,Yes,,,,,,
206,MFSL,1518009,709,No,No,Yes,,,,,,Yes,,,,,,,
