,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,Keltner_Channel
126,HINDALCO,5903712.0,479.0,,,,,,
127,HINDCOPPER,4397378.0,116.0,,,,,,
128,HINDPETRO,1689575.0,237.0,,,,,,
129,HINDUNILVR,821537.0,2542.0,,,,,,
130,HINDZINC,1353520.0,331.0,,,,,,
131,HSCL,936990.0,99.0,,,,,,
132,HUDCO,7581775.0,53.0,,,,,,
133,IBREALEST,5365187.0,83.0,,,,,,
134,IBULHSGFIN,13657223.0,150.0,,,,,,
135,ICICIBANK,5846160.0,901.0,,,,,,
136,ICICIGI,1324002.0,1267.0,,,,,,
137,ICICIPRULI,4107703.0,468.0,,,,,,
138,IDBI,10000026.0,55.0,,,,,,
139,IDEA,108153946.0,7.0,,,,,,
140,IDFC,7830025.0,84.0,,,,,,
141,IDFCFIRSTB,38932324.0,61.0,,,,,,
142,IEX,3717628.0,142.0,,,,,,
143,IFCI,20363250.0,14.0,,,,,,
144,IGL,1123043.0,419.0,,,,,,
145,IIFL,203160.0,466.0,,,,,,False
146,INDHOTEL,1658107.0,320.0,,,,,,
147,INDIACEM,1735234.0,222.0,,,,,,
148,INDIANB,1965006.0,296.0,,,,,,
149,INDIGO,321586.0,2040.0,,,,,,
150,INDUSINDBK,2194830.0,1240.0,,,,,,
151,INDUSTOWER,878615.0,189.0,,,,,,
152,INFIBEAM,8684851.0,16.0,,,,,,
153,INFY,4550173.0,1522.0,,,,,,
154,INOXWIND,289843.0,108.0,,,,,,
155,IOB,83019250.0,32.0,,,,,,
156,IOC,11485237.0,78.0,,,,,,
157,IOLCP,637241.0,371.0,,,,,,
158,IRB,8845505.0,314.0,,,,,,
159,IRCON,10154060.0,60.0,,,,,,
160,IRCTC,2364166.0,644.0,,,,,,
161,IRFC,84788891.0,33.0,,,,,,
162,ITC,5993839.0,331.0,,,,,,
163,J&KBANK,10545221.0,57.0,,,,,,
164,JAICORPLTD,1140281.0,151.0,,,,,,
165,JAMNAAUTO,255745.0,105.0,,,,,,
166,JBMA,236029.0,517.0,,,,,,
167,JINDALSAW,4025162.0,110.0,,,,,,
168,JINDALSTEL,4002411.0,598.0,,,,,,False
169,JISLJALEQS,1127306.0,33.0,,,,,,
170,JKPAPER,358105.0,416.0,,,,,,
171,JKTYRE,669066.0,188.0,,,,,,
172,JMFINANCIL,888856.0,73.0,,,,,,
173,JPASSOCIAT,14348284.0,10.0,,,,,,
174,JPPOWER,37452508.0,7.0,,,,,,
175,JSL,2168528.0,248.0,,,,,,False
176,JSWENERGY,365468.0,289.0,,,,,,
177,JSWISPL,690505.0,32.0,,,,,,
178,JSWSTEEL,1635609.0,767.0,,,,,,False
179,JUBLFOOD,1233620.0,507.0,,,,,,
180,JYOTHYLAB,131924.0,204.0,,,,,,
181,KALYANKJIL,2285043.0,124.0,,,,,,
182,KARURVYSYA,7275003.0,112.0,,,,,,
183,KOTAKBANK,1663289.0,1832.0,,,,,,
184,KPITTECH,523379.0,691.0,,,,,,
185,KTKBANK,3781803.0,158.0,,,,,,
186,L&TFH,8118831.0,90.0,,,,,,
187,LAURUSLABS,1430946.0,377.0,,,,,,
188,LEMONTREE,1374129.0,83.0,,,,,,
189,LICHSGFIN,1101931.0,421.0,,,,,,
190,LICI,4839377.0,734.0,,,,,,
191,LT,1259698.0,2088.0,,,,,,False
192,LUPIN,631501.0,737.0,,,,,,
193,LXCHEM,321061.0,299.0,,,,,,
194,M&M,1510545.0,1249.0,,,,,,
195,M&MFIN,11104923.0,234.0,,,,,,
196,MAHABANK,54872789.0,32.0,,,,,,
197,MAHINDCIE,526304.0,337.0,,,,,,
198,MANAPPURAM,12926609.0,122.0,,,,,,
199,MARICO,490250.0,510.0,,,,,,
200,MARKSANS,960820.0,59.0,,,,,,
201,MARUTI,493182.0,8382.0,,,,,,
202,MAXHEALTH,396310.0,446.0,,,,,,
203,MAZDOCK,9015403.0,834.0,,,,,,
204,MCDOWELL-N,750409.0,865.0,,,,,,
205,METROPOLIS,445207.0,1366.0,,,,,,
206,MFSL,1518009.0,709.0,,,,,,
207,MIDHANI,375426.0,222.0,,,,,,
208,MMTC,1585397.0,38.0,,,,,,
209,MOIL,408118.0,170.0,,,,,,
210,MOL,467548.0,111.0,,,,,,
211,MOREPENLAB,7025182.0,35.0,,,,,,
212,MOTHERSON,7237906.0,76.0,,,,,,
213,MRPL,1920520.0,57.0,,,,,,
214,MSUMI,5929775.0,57.0,,,,,,
215,MUTHOOTFIN,302072.0,1087.0,,,,,,
216,NATIONALUM,12995078.0,83.0,,,,,,
217,NAVA,1261569.0,256.0,,,,,,
218,NBCC,6950062.0,41.0,,,,,,
219,NCC,8298667.0,90.0,,,,,,
220,NETWORK18,1051165.0,66.0,,,,,,
221,NFL,7669297.0,72.0,,,,,,
222,NHPC,3761723.0,39.0,,,,,,
223,NIACL,4482624.0,131.0,,,,,,
224,NLCINDIA,1713800.0,86.0,,,,,,
225,NTPC,9624595.0,167.0,,,,,,
226,NYKAA,3641115.0,153.0,,,,,,
227,OIL,682769.0,211.0,,,,,,
228,ONGC,14990122.0,149.0,,,,,,
229,ORIENTCEM,991630.0,131.0,,,,,,
230,PAISALO,856992.0,78.0,,,,,,
231,PARADEEP,1553132.0,59.0,,,,,,
232,PAYTM,1210847.0,535.0,,,,,,
233,PCBL,437658.0,131.0,,,,,,
234,PETRONET,1173254.0,216.0,,,,,,
235,PFC,30687824.0,156.0,,,,,,
236,PNB,78519939.0,57.0,,,,,,
237,PNBHOUSING,3761580.0,573.0,,,,,,False
238,PNCINFRA,1833851.0,307.0,,,,,,
239,POLICYBZR,973467.0,453.0,,,,,,
240,POONAWALLA,2430680.0,303.0,,,,,,
241,POWERGRID,2154188.0,215.0,,,,,,
242,PRAJIND,784980.0,366.0,,,,,,
243,PVR,118650.0,1714.0,,,,,,
244,RAILTEL,1442013.0,128.0,,,,,,
245,RAIN,1967486.0,179.0,,,,,,
