,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
77,EASEMYTRIP,5275736.0,53.0,No,No,No,Yes,,,,,,,,
78,EDELWEISS,1219959.0,64.0,No,No,No,Yes,,,,,,,,
79,EICHERMOT,323223.0,3213.0,Yes,No,No,Yes,,,,,,,,
80,EIHOTEL,314279.0,179.0,No,No,No,Yes,,,,Yes,,,,
81,EKC,401557.0,100.0,No,No,No,Yes,,,,Yes,,,,
82,ELECTCAST,1281589.0,39.0,No,No,No,Yes,,,Yes,,,,,
83,ENGINERSIN,2027041.0,80.0,No,No,No,Yes,,,,Yes,,,,Yes
84,EPL,168255.0,169.0,No,No,No,Yes,,,,,,,,
85,EQUITASBNK,2476344.0,59.0,No,No,No,Yes,,,,Yes,,,,
86,EXIDEIND,1729288.0,180.0,No,No,No,Yes,,,,,,,,
87,FACT,1333036.0,337.0,No,Yes,Yes,Yes,,,,Yes,,,,
88,FCL,267839.0,252.0,No,No,No,Yes,,,,,,,,
89,FEDERALBNK,24554724.0,137.0,No,No,No,Yes,,,Yes,,63,,,
90,FILATEX,214079.0,45.0,No,No,No,Yes,,,,,,,,
91,FINPIPE,816028.0,188.0,No,No,Yes,Yes,,,,Yes,63,,,Yes
92,FORTIS,280765.0,283.0,No,No,No,,,,,Yes,,,,
93,FSL,825496.0,103.0,No,No,No,Yes,,,,,,,,Yes
94,GABRIEL,318032.0,190.0,No,No,No,Yes,,,,Yes,,,,Yes
95,GAIL,6050701.0,96.0,No,No,No,Yes,,,,Yes,,,,Yes
96,GATI,246490.0,143.0,No,No,No,Yes,,,,,,,,
97,GICRE,8723871.0,196.0,No,No,Yes,,Yes,252,,Yes,63,,,
98,GLENMARK,735382.0,434.0,No,No,No,Yes,,,,Yes,,,,
99,GMDCLTD,1049264.0,151.0,No,No,No,Yes,,,,Yes,,,,
100,GMMPFAUDLR,254010.0,1601.0,No,No,No,Yes,,,,,,,,Yes
101,GMRINFRA,6123079.0,40.0,No,No,No,Yes,,,,,,,,Yes
102,GNFC,749246.0,567.0,Yes,No,No,Yes,,,,Yes,,,,Yes
103,GODREJCP,910243.0,892.0,No,No,Yes,,,,Yes,,,,,
104,GPIL,1139704.0,409.0,No,No,Yes,,Yes,126,Yes,,63,,,
105,GPPL,3493525.0,104.0,No,No,No,,Yes,252,,Yes,63,,,
106,GRANULES,1639085.0,326.0,No,No,No,Yes,,,,Yes,,,,Yes
107,GREAVESCOT,852027.0,137.0,No,No,No,Yes,,,,Yes,,,,
108,GRSE,1734760.0,492.0,No,Yes,No,Yes,,,Yes,,,,,
109,GSFC,2252791.0,139.0,No,No,No,Yes,,,,Yes,,,,
110,GSPL,286139.0,272.0,No,No,No,Yes,,,,Yes,,,,Yes
111,GTLINFRA,10357178.0,1.0,No,No,No,Yes,,,,,,,,
112,GUJGASLTD,866133.0,490.0,No,No,No,Yes,,,,,,,,Yes
113,HAL,554863.0,2539.0,Yes,Yes,No,Yes,,,,,,,,
114,HATHWAY,2313547.0,17.0,No,No,No,Yes,,,,,,,,
115,HAVELLS,998602.0,1127.0,No,No,No,Yes,,,,Yes,,,,Yes
116,HBLPOWER,1551055.0,105.0,No,No,No,Yes,,,,Yes,,,,
117,HCC,45280324.0,21.0,No,No,No,Yes,,,,Yes,63,,,Yes
118,HCLTECH,2484318.0,1041.0,No,Yes,No,,,,Yes,,,,,Yes
119,HDFC,2262442.0,2664.0,No,Yes,No,,,,,Yes,,,,Yes
120,HDFCBANK,4187907.0,1639.0,No,Yes,Yes,,,,,Yes,,,,Yes
121,HDFCLIFE,10092755.0,595.0,No,No,No,,Yes,21,Yes,,21,,,Yes
122,HEMIPROP,1672077.0,112.0,No,No,No,Yes,,,Yes,,,,,Yes
123,HFCL,9278764.0,76.0,No,No,No,Yes,,,,,,,,Yes
124,HIKAL,3993225.0,416.0,No,No,Yes,,Yes,,Yes,,63,,,
125,HIMATSEIDE,863440.0,83.0,No,No,No,Yes,,,,Yes,,,,
126,HINDALCO,5903712.0,479.0,No,No,No,Yes,,,,Yes,,,,
127,HINDCOPPER,4397378.0,116.0,No,No,No,Yes,,,Yes,,,,,
128,HINDPETRO,1689575.0,237.0,No,No,No,Yes,,,,Yes,,,,Yes
129,HINDUNILVR,821537.0,2542.0,No,No,Yes,Yes,,,,,,Yes,,
130,HINDZINC,1353520.0,331.0,No,No,No,,Yes,2510,Yes,,63,,,
131,HSCL,936990.0,99.0,No,No,No,Yes,,,,Yes,,,,
132,HUDCO,7581775.0,53.0,No,No,No,Yes,,,,Yes,,,,
133,IBREALEST,5365187.0,83.0,No,No,No,Yes,,,,Yes,,,,
134,IBULHSGFIN,13657223.0,150.0,No,No,No,Yes,,,,Yes,,,,
135,ICICIBANK,5846160.0,901.0,No,No,No,,,,,,,,,
136,ICICIGI,1324002.0,1267.0,No,No,Yes,,Yes,63,Yes,,21,,,
137,ICICIPRULI,4107703.0,468.0,No,No,No,,Yes,21,Yes,,,,,Yes
138,IDBI,10000026.0,55.0,No,No,No,Yes,,,,Yes,,,,
139,IDEA,108153946.0,7.0,No,No,No,Yes,,,,,,,,
140,IDFC,7830025.0,84.0,No,No,No,Yes,,,,Yes,63,,,Yes
141,IDFCFIRSTB,38932324.0,61.0,No,No,No,Yes,,,,Yes,,,,Yes
142,IEX,3717628.0,142.0,No,No,No,Yes,,,,Yes,,,,Yes
143,IFCI,20363250.0,14.0,No,No,No,Yes,,,,,63,,,
144,IGL,1123043.0,419.0,No,No,No,Yes,,,,,,,,Yes
145,IIFL,203160.0,466.0,No,Yes,Yes,Yes,,,,,,,,
146,INDHOTEL,1658107.0,320.0,No,No,No,Yes,,,,Yes,,,,
147,INDIACEM,1735234.0,222.0,No,No,No,Yes,,,,,,,,Yes
148,INDIANB,1965006.0,296.0,No,Yes,No,Yes,,,,Yes,,,,Yes
149,INDIGO,321586.0,2040.0,No,No,Yes,Yes,,,,Yes,,,,
150,INDUSINDBK,2194830.0,1240.0,No,No,Yes,,,,,Yes,63,,,Yes
151,INDUSTOWER,878615.0,189.0,No,No,No,Yes,,,,,,Yes,,
152,INFIBEAM,8684851.0,16.0,No,No,No,Yes,,,,,,,,Yes
153,INFY,4550173.0,1522.0,No,Yes,No,,,,,,,,,
154,INOXWIND,289843.0,108.0,No,No,No,Yes,,,,,,Yes,,
155,IOB,83019250.0,32.0,No,No,No,Yes,,,,Yes,,,,
156,IOC,11485237.0,78.0,No,No,No,,Yes,,,Yes,,,,Yes
157,IOLCP,637241.0,371.0,No,No,Yes,Yes,,,,Yes,,,,
158,IRB,8845505.0,314.0,No,No,Yes,Yes,,,Yes,,63,,,Yes
159,IRCON,10154060.0,60.0,No,No,No,Yes,,,,Yes,,,,
160,IRCTC,2364166.0,644.0,No,No,No,Yes,,,,,,,,Yes
161,IRFC,84788891.0,33.0,No,No,No,Yes,,,,Yes,63,,,Yes
162,ITC,5993839.0,331.0,No,No,No,,,,,,,,,
163,J&KBANK,10545221.0,57.0,No,No,No,,,,,Yes,,,,Yes
164,JAICORPLTD,1140281.0,151.0,No,No,No,Yes,,,,,,,,
165,JAMNAAUTO,255745.0,105.0,No,No,No,Yes,,,,,,,,Yes
166,JBMA,236029.0,517.0,No,No,Yes,Yes,,,,Yes,,,,
167,JINDALSAW,4025162.0,110.0,No,No,No,,Yes,189,Yes,,63,,,
168,JINDALSTEL,4002411.0,598.0,No,Yes,Yes,,Yes,2510,,Yes,63,,,
169,JISLJALEQS,1127306.0,33.0,No,No,No,Yes,,,,,,,,
170,JKPAPER,358105.0,416.0,No,No,No,Yes,,,,Yes,,,,
171,JKTYRE,669066.0,188.0,No,No,No,Yes,,,,,,,,Yes
172,JMFINANCIL,888856.0,73.0,No,No,No,Yes,,,,,,,,
173,JPASSOCIAT,14348284.0,10.0,No,No,No,Yes,,,,,,,,
