,Symbol,Current_Price,Engullfin,Trustinline,TweezerBottom,RsiComparator,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout
234,GICRE,149.0,,,,,DownTrend,,Yes,252,,,Yes,,
235,GLAND,1748.0,,,,,DownTrend,Yes,,,,,Yes,,
236,GLAXO,1341.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
237,GLENMARK,435.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
238,GLOBUSSPR,887.0,,,,,UpTrend,Yes,,,,,Yes,,
239,GLS,436.0,,,,,DownTrend,,Yes,,,,Yes,,
240,GMDCLTD,160.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
241,GMMPFAUDLR,1906.0,,,,,DownTrend,,,,,,,,
242,GMRINFRA,43.0,,,,Yes,DownTrend,,Yes,189,,Yes,,,
243,GNFC,599.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
244,GOCOLORS,1136.0,,,,,DownTrend,Yes,,,,,Yes,,
245,GODFRYPHLP,1772.0,,,,,UpTrend,Yes,,,,,,,
246,GODREJAGRO,485.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
247,GODREJCP,882.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
248,GODREJIND,464.0,,,,,DownTrend,,Yes,,,,Yes,,
249,GODREJPROP,1355.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
250,GOKEX,387.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
251,GOODYEAR,1145.0,,,,,DownTrend,Yes,,,,Yes,,,
252,GPIL,334.0,,,,Yes,UpTrend,,Yes,126,,,Yes,,
253,GPPL,91.0,,,,,DownTrend,,,,,,Yes,,
254,GRANULES,341.0,,,,,DownTrend,Yes,,,,,Yes,,
255,GRAPHITE,403.0,,,,,DownTrend,,Yes,21,,Yes,,,
256,GRASIM,1816.0,,,,,DownTrend,Yes,,,,Yes,,,
257,GRAVITA,377.0,,,,,DownTrend,,Yes,,,Yes,,,Yes wait for breakout of resistance => 377.1499938964844
258,GREAVESCOT,146.0,,,,,DownTrend,,,,,,,,
