,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,Keltner_Channel
119,CARERATING,113062.0,617.0,,,,,,
120,CARTRADE,58904.0,482.0,,,,,,
121,CARYSIL,63276.0,469.0,,,,,,
122,CASTROLIND,304260.0,125.0,,,,,,
123,CCL,130266.0,541.0,,,,,,
124,CDSL,197685.0,1153.0,,,,,,
125,CEATLTD,62321.0,1637.0,,,,,,
126,CENTRALBK,17751637.0,32.0,,,,,,
127,CENTURYPLY,60425.0,516.0,,,,,,
128,CENTURYTEX,27602.0,726.0,,,,,,
129,CERA,4068.0,5271.0,,,,,,
130,CESC,1279369.0,77.0,,,,,,
131,CGCL,106521.0,756.0,,,,,,
132,CGPOWER,752762.0,274.0,,,,,,
133,CHALET,52548.0,351.0,,,,,,
134,CHAMBLFERT,782245.0,314.0,,,,,,
135,CHEMPLASTS,909812.0,463.0,,,,,,
136,CHENNPETRO,640343.0,208.0,,,,,,
137,CHOICEIN,33166.0,257.0,,,,,,
138,CHOLAFIN,572611.0,728.0,,,,,,
139,CHOLAHLDNG,28441.0,559.0,,,,,,
140,CIGNITITEC,137027.0,566.0,,,,,,
141,CIPLA,952186.0,1075.0,,,,,,
142,CLEAN,27729.0,1488.0,,,,,,
143,CMSINFO,194674.0,311.0,,,,,,
144,COALINDIA,3639237.0,224.0,,,,,,
145,COCHINSHIP,1849378.0,534.0,,,,,,
146,COFORGE,319379.0,4019.0,,,,,,
147,COLPAL,203428.0,1517.0,,,,,,
148,CONCOR,938716.0,744.0,,,,,,
149,CONFIPET,2903114.0,81.0,,,,,,
150,COROMANDEL,335342.0,900.0,,,,,,
151,COSMOFIRST,54955.0,781.0,,,,,,
152,CRAFTSMAN,64512.0,3574.0,,,,,,False
153,CREDITACC,67865.0,891.0,,,,,,
154,CRISIL,24349.0,2951.0,,,,,,
155,CROMPTON,728383.0,347.0,,,,,,
156,CSBBANK,7945756.0,251.0,,,,,,
157,CUB,1748655.0,178.0,,,,,,
158,CUMMINSIND,362933.0,1395.0,,,,,,False
159,CYIENT,67779.0,820.0,,,,,,
160,DAAWAT,1840762.0,119.0,,,,,,
161,DABUR,904002.0,560.0,,,,,,
162,DALBHARAT,114481.0,1872.0,,,,,,False
163,DALMIASUG,98467.0,388.0,,,,,,
164,DATAMATICS,61330.0,283.0,,,,,,
165,DATAPATTNS,103760.0,1138.0,,,,,,
166,DBL,1885371.0,223.0,,,,,,
167,DBREALTY,166824.0,93.0,,,,,,
168,DCAL,723630.0,94.0,,,,,True,
169,DCBBANK,2254201.0,130.0,,,,,,
170,DCMSHRIRAM,8190.0,894.0,,,,,,
171,DEEPAKFERT,338323.0,693.0,,,,,,
172,DEEPAKNTR,216823.0,1998.0,,,,,,
173,DELHIVERY,336541.0,337.0,,,,,,
174,DELTACORP,1761768.0,216.0,,,,,,
175,DEN,790527.0,35.0,,,,,,
176,DEVYANI,807308.0,177.0,,,,,,
177,DFMFOODS,128406.0,460.0,,,,,,
178,DHANI,1909387.0,40.0,,,,,,
179,DHANUKA,6719.0,719.0,,,,,,
180,DISHTV,6908590.0,18.0,,,,,,
181,DIVISLAB,244582.0,3393.0,,,,,,
182,DIXON,87250.0,3922.0,,,,,,
183,DLF,2002727.0,380.0,,,,,,
184,DMART,113960.0,4060.0,,,,,,
185,DOLATALGO,59805.0,63.0,,,,,,
186,DOLLAR,39130.0,426.0,,,,,,
187,DRREDDY,162147.0,4238.0,,,,,,
188,DWARKESH,2166452.0,105.0,,,,,,
189,EASEMYTRIP,5275736.0,53.0,,,,,,
190,ECLERX,15771.0,1278.0,,,,,,
191,EDELWEISS,1219959.0,64.0,,,,,,
192,EICHERMOT,323223.0,3213.0,,,,,,
193,EIDPARRY,147697.0,575.0,,,,,,
194,EIHOTEL,314279.0,179.0,,,,,,
195,EKC,401557.0,100.0,,,,,,
196,ELECON,268739.0,373.0,,,,,,
197,ELECTCAST,1281589.0,39.0,,,,,,
198,ELGIEQUIP,213718.0,410.0,,,,,,
199,EMAMILTD,204904.0,429.0,,,,,,
200,EMUDHRA,40562.0,309.0,,,,,,
201,ENDURANCE,8035.0,1381.0,,,,,,
202,ENGINERSIN,2027041.0,80.0,,,,,,
203,EPL,168255.0,169.0,,,,,,
204,EQUITASBNK,2476344.0,59.0,,,,,,
205,ESABINDIA,5133.0,4253.0,,,,,,False
206,ESCORTS,305453.0,2166.0,,,,,,
207,ETHOSLTD,11997.0,1015.0,,,,,,
208,EVEREADY,32649.0,355.0,,,,,,
209,EXIDEIND,1729288.0,180.0,,,,,,
210,FACT,1333036.0,337.0,,,,,,False
211,FAIRCHEMOR,15673.0,1301.0,,,,,,
212,FCL,267839.0,252.0,,,,,,
213,FDC,53832.0,274.0,,,,,,
214,FEDERALBNK,24554724.0,137.0,,,,,,
215,FILATEX,214079.0,45.0,,,,,,
216,FINCABLES,366188.0,560.0,,,,,,
217,FINEORG,15166.0,5646.0,,,,,,
218,FINOPB,47220.0,247.0,,,,,,
219,FINPIPE,816028.0,188.0,,,,,,
220,FLUOROCHEM,38014.0,3100.0,,,,,,
221,FORCEMOT,61049.0,1499.0,,,,,,
222,FORTIS,280765.0,283.0,,,,,,
223,FSL,825496.0,103.0,,,,,,
224,GABRIEL,318032.0,190.0,,,,,,
225,GAEL,177568.0,253.0,,,,,True,
226,GAIL,6050701.0,96.0,,,,,,
227,GALAXYSURF,5864.0,2467.0,,,,,,
228,GANESHHOUC,27164.0,364.0,,,,,,
229,GARFIBRES,4722.0,3122.0,,,,,,
230,GATEWAY,300931.0,69.0,,,,,,
231,GATI,246490.0,143.0,,,,,,
232,GEOJITFSL,272612.0,47.0,,,,,,
233,GESHIP,182324.0,661.0,,,,,,False
234,GICRE,8723871.0,196.0,,,,,,
235,GLAND,95927.0,1575.0,,,,,,
236,GLAXO,50783.0,1303.0,,,,,,
237,GLENMARK,735382.0,434.0,,,,,,
238,GLOBUSSPR,53980.0,842.0,,,,,,
239,GLS,39872.0,418.0,,,,,,
240,GMDCLTD,1049264.0,151.0,,,,,,
241,GMMPFAUDLR,254010.0,1601.0,,,,,,
242,GMRINFRA,6123079.0,40.0,,,,,,
243,GNFC,749246.0,567.0,,,,,,
244,GOCOLORS,13747.0,1174.0,,,,,,
245,GODFRYPHLP,93270.0,1998.0,,,,,,False
246,GODREJAGRO,33317.0,474.0,,,,,,
247,GODREJCP,910243.0,892.0,,,,,,
248,GODREJIND,54190.0,438.0,,,,,,
249,GODREJPROP,490937.0,1243.0,,,,,,
250,GOKEX,79252.0,366.0,,,,,,
251,GOODYEAR,37921.0,1140.0,,,,,,
252,GPIL,1139704.0,409.0,,,,,,
253,GPPL,3493525.0,104.0,,,,,,
254,GRANULES,1639085.0,326.0,,,,,,
255,GRAPHITE,457363.0,384.0,,,,,,
256,GRASIM,546467.0,1717.0,,,,,,False
257,GRAVITA,131984.0,449.0,,,,,,False
258,GREAVESCOT,852027.0,137.0,,,,,,
259,GREENPANEL,146602.0,341.0,,,,,,
260,GREENPLY,53451.0,146.0,,,,,,
261,GRINDWELL,51122.0,1847.0,,,,,,
262,GRINFRA,11051.0,1178.0,,,,,,
263,GRSE,1734760.0,492.0,,,,,,
264,GRWRHITECH,10628.0,670.0,,,,,,
265,GSFC,2252791.0,139.0,,,,,,
266,GSPL,286139.0,272.0,,,,,,
267,GTLINFRA,10357178.0,1.0,,,,,,
268,GUFICBIO,86881.0,225.0,,,,,,
269,GUJALKALI,102507.0,778.0,,,,,,
270,GUJGASLTD,866133.0,490.0,,,,,,
271,GULFOILLUB,20160.0,432.0,,,,,,
272,HAL,554863.0,2539.0,,,,,,
273,HAPPSTMNDS,170916.0,887.0,,,,,,
274,HATHWAY,2313547.0,17.0,,,,,,
275,HATSUN,39040.0,899.0,,,,,,
276,HAVELLS,998602.0,1127.0,,,,,,
277,HBLPOWER,1551055.0,105.0,,,,,,
278,HCC,45280324.0,21.0,,,,,,
279,HCG,42616.0,284.0,,,,,,
280,HCLTECH,2484318.0,1041.0,,,,,,
281,HDFC,2262442.0,2664.0,,,,,,
282,HDFCAMC,169501.0,2189.0,,,,,,False
283,HDFCBANK,4187907.0,1639.0,,,,,,False
284,HDFCLIFE,10092755.0,595.0,,,,,,
285,HEG,306628.0,1077.0,,,,,,
286,HEIDELBERG,102163.0,189.0,,,,,,
287,HEMIPROP,1672077.0,112.0,,,,,,
288,HERANBA,23167.0,500.0,,,,,,
289,HERITGFOOD,179589.0,371.0,,,,,,
290,HEROMOTOCO,136699.0,2720.0,,,,,,
291,HFCL,9278764.0,76.0,,,,,,
292,HGINFRA,325830.0,639.0,,,,,,
293,HGS,14436.0,1336.0,,,,,,
294,HIKAL,3993225.0,416.0,,,,,,
295,HIL,8684.0,2716.0,,,,,,
296,HIMATSEIDE,863440.0,83.0,,,,,,
297,HINDALCO,5903712.0,479.0,,,,,,
298,HINDCOPPER,4397378.0,116.0,,,,,,
299,HINDOILEXP,168151.0,139.0,,,,,,
300,HINDPETRO,1689575.0,237.0,,,,,,
