,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone
92,BFUTILITIE,1137598.0,418.0,No,No,No,Yes,,,
93,BHARATFORG,473048.0,878.0,No,Yes,Yes,Yes,,,
94,BHARATRAS,745.0,9884.0,No,No,No,,,,
95,BHARTIARTL,1717487.0,817.0,No,Yes,No,,,,Yes
96,BHEL,14554865.0,80.0,No,No,No,Yes,,,Yes
97,BIOCON,1276513.0,263.0,No,No,No,,,,
98,BIRLACORPN,57511.0,988.0,No,No,Yes,Yes,,,
99,BLS,605025.0,171.0,No,No,No,Yes,,,
100,BLUEDART,25813.0,7814.0,Yes,No,Yes,Yes,,,
101,BLUESTARCO,276452.0,1204.0,No,Yes,Yes,Yes,,,
102,BOMDYEING,757360.0,80.0,No,No,No,Yes,,,Yes
103,BOROLTD,134939.0,378.0,No,No,No,Yes,,,
104,BORORENEW,138891.0,512.0,No,No,No,Yes,,,
105,BOSCHLTD,6875.0,17133.0,No,Yes,Yes,,,,
106,BPCL,2631494.0,336.0,No,No,No,Yes,,,Yes
107,BRIGADE,149011.0,466.0,No,No,No,Yes,,,Yes
108,BRITANNIA,496956.0,4241.0,No,Yes,Yes,Yes,,,
109,BSE,419224.0,565.0,No,No,No,Yes,,,Yes
110,BSOFT,2514659.0,299.0,No,No,No,Yes,,,
111,BUTTERFLY,2643.0,1568.0,Yes,No,No,,,,
112,CAMLINFINE,314946.0,161.0,No,No,No,Yes,,,
113,CAMPUS,114100.0,411.0,,No,No,Yes,,,
114,CAMS,39310.0,2214.0,No,No,No,,,,
115,CANBK,11332429.0,336.0,No,Yes,No,,Yes,1008,
116,CANFINHOME,500175.0,548.0,No,No,No,,Yes,,Yes
117,CAPLIPOINT,10757.0,724.0,No,No,No,,,,Yes
118,CARBORUNIV,41090.0,888.0,No,No,Yes,Yes,,,Yes
119,CARERATING,113062.0,617.0,No,No,Yes,Yes,,,
120,CARTRADE,58904.0,482.0,No,No,No,Yes,,,Yes
121,CARYSIL,63276.0,469.0,No,No,No,Yes,,,
122,CASTROLIND,304260.0,125.0,No,No,No,Yes,,,
123,CCL,130266.0,541.0,No,No,No,Yes,,,
124,CDSL,197685.0,1153.0,No,No,No,Yes,,,
125,CEATLTD,62321.0,1637.0,No,Yes,No,Yes,,,
126,CENTRALBK,17751637.0,32.0,No,No,No,Yes,,,Yes
127,CENTURYPLY,60425.0,516.0,No,No,No,Yes,,,
128,CENTURYTEX,27602.0,726.0,No,No,No,Yes,,,
129,CERA,4068.0,5271.0,No,No,No,Yes,,,
130,CESC,1279369.0,77.0,No,No,No,Yes,,,
131,CGCL,106521.0,756.0,No,No,No,,,,
132,CGPOWER,752762.0,274.0,No,No,No,Yes,,,Yes
133,CHALET,52548.0,351.0,No,No,No,Yes,,,
134,CHAMBLFERT,782245.0,314.0,No,No,No,Yes,,,Yes
135,CHEMPLASTS,909812.0,463.0,No,No,Yes,Yes,,,
136,CHENNPETRO,640343.0,208.0,No,No,No,Yes,,,
137,CHOICEIN,33166.0,257.0,,No,No,,Yes,,Yes
138,CHOLAFIN,572611.0,728.0,No,No,No,Yes,,,
139,CHOLAHLDNG,28441.0,559.0,No,No,No,Yes,,,
140,CIGNITITEC,137027.0,566.0,No,No,No,,Yes,21,Yes
141,CIPLA,952186.0,1075.0,No,No,No,Yes,,,
142,CLEAN,27729.0,1488.0,No,No,No,Yes,,,
143,CMSINFO,194674.0,311.0,No,Yes,No,Yes,,,
144,COALINDIA,3639237.0,224.0,No,No,No,Yes,,,
145,COCHINSHIP,1849378.0,534.0,No,Yes,No,Yes,,,
146,COFORGE,319379.0,4019.0,No,Yes,No,,Yes,,Yes
147,COLPAL,203428.0,1517.0,No,No,No,Yes,,,
148,CONCOR,938716.0,744.0,No,Yes,No,Yes,,,Yes
149,CONFIPET,2903114.0,81.0,No,No,No,Yes,,,Yes
150,COROMANDEL,335342.0,900.0,No,No,No,Yes,,,Yes
151,COSMOFIRST,54955.0,781.0,No,No,No,,Yes,,Yes
152,CRAFTSMAN,64512.0,3574.0,Yes,Yes,Yes,Yes,,,
153,CREDITACC,67865.0,891.0,Yes,No,No,Yes,,,
154,CRISIL,24349.0,2951.0,Yes,No,No,Yes,,,
155,CROMPTON,728383.0,347.0,No,No,No,,,,Yes
156,CSBBANK,7945756.0,251.0,No,No,Yes,Yes,,,Yes
157,CUB,1748655.0,178.0,No,No,No,Yes,,,
158,CUMMINSIND,362933.0,1395.0,Yes,Yes,Yes,Yes,,,Yes
159,CYIENT,67779.0,820.0,No,No,No,Yes,,,Yes
160,DAAWAT,1840762.0,119.0,No,No,No,Yes,,,Yes
161,DABUR,904002.0,560.0,No,No,No,,,,
162,DALBHARAT,114481.0,1872.0,No,Yes,Yes,Yes,,,
163,DALMIASUG,98467.0,388.0,No,No,Yes,Yes,,,
164,DATAMATICS,61330.0,283.0,No,No,No,Yes,,,Yes
165,DATAPATTNS,103760.0,1138.0,No,Yes,No,Yes,,,Yes
166,DBL,1885371.0,223.0,No,No,No,Yes,,,
167,DBREALTY,166824.0,93.0,No,No,No,Yes,,,
168,DCAL,723630.0,94.0,No,No,No,Yes,,,
169,DCBBANK,2254201.0,130.0,No,No,No,Yes,,,Yes
170,DCMSHRIRAM,8190.0,894.0,No,No,No,Yes,,,
171,DEEPAKFERT,338323.0,693.0,Yes,No,No,Yes,,,
172,DEEPAKNTR,216823.0,1998.0,No,Yes,No,Yes,,,Yes
173,DELHIVERY,336541.0,337.0,,No,No,Yes,,,Yes
174,DELTACORP,1761768.0,216.0,No,No,No,Yes,,,Yes
175,DEN,790527.0,35.0,No,No,No,Yes,,,
176,DEVYANI,807308.0,177.0,No,No,No,Yes,,,
177,DFMFOODS,128406.0,460.0,No,No,Yes,,Yes,2510,
178,DHANI,1909387.0,40.0,No,No,No,Yes,,,
179,DHANUKA,6719.0,719.0,No,No,No,Yes,,,
180,DISHTV,6908590.0,18.0,No,No,No,Yes,,,Yes
181,DIVISLAB,244582.0,3393.0,No,No,Yes,Yes,,,
182,DIXON,87250.0,3922.0,No,No,No,Yes,,,
183,DLF,2002727.0,380.0,No,No,No,Yes,,,
184,DMART,113960.0,4060.0,No,No,Yes,Yes,,,
185,DOLATALGO,59805.0,63.0,No,No,No,Yes,,,
186,DOLLAR,39130.0,426.0,No,No,No,Yes,,,
187,DRREDDY,162147.0,4238.0,No,Yes,No,Yes,,,
188,DWARKESH,2166452.0,105.0,No,No,No,Yes,,,
189,EASEMYTRIP,5275736.0,53.0,No,No,No,Yes,,,
190,ECLERX,15771.0,1278.0,No,No,No,Yes,,,
191,EDELWEISS,1219959.0,64.0,No,No,No,Yes,,,
