,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout
59,AUBANK,1288391.0,651.0,No,No,Yes,,,,,,,,,,,,,
60,AUROPHARMA,1449457.0,441.0,No,No,No,,,,,,,,Yes,,,,,Yes
61,AUTOAXLES,6297.0,2004.0,Yes,No,No,,,,,,,,Yes,,,,,
62,AVANTIFEED,77822.0,390.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 391,,Yes,
63,AWL,1215566.0,600.0,No,No,No,,,,,,,,Yes,,,,,
64,AXISBANK,6925831.0,962.0,No,Yes,Yes,,,,,,,Yes,,,,,,
65,BAJAJ-AUTO,218989.0,3601.0,Yes,No,No,,,,,,,,Yes,,,,,Yes
66,BAJAJCON,224796.0,171.0,No,No,No,,,,,,,,Yes,,,,,
67,BAJAJELEC,36517.0,1182.0,No,No,Yes,,,,,,,,Yes,,,,,
68,BAJAJFINSV,1306159.0,1563.0,No,No,No,,,,,,,,,,,,,
69,BAJAJHIND,8580036.0,16.0,No,No,No,,,,,,,,,,,,,
70,BAJAJHLDNG,52152.0,5660.0,Yes,Yes,No,,,,,,,,,,Before wait for breakout of resistance => 6294,,,Yes
71,BAJFINANCE,741605.0,6606.0,No,No,No,,,,,,,,Yes,,,,,
72,BALAMINES,44868.0,2636.0,No,No,No,,,,,,,,Yes,,,,Yes,
73,BALKRISIND,241816.0,2129.0,No,Yes,Yes,,,,,,,,Yes,,,63,,
74,BALMLAWRIE,234438.0,124.0,No,No,No,,,,,,,,Yes,,,,,
75,BALRAMCHIN,2225504.0,402.0,No,No,Yes,,,,,,,,Yes,,,,,
76,BANDHANBNK,6269947.0,240.0,No,No,No,,,,,,,,,,,,,
77,BANKBARODA,19753217.0,187.0,No,No,No,,,,,,,,Yes,,,63,,
78,BANKINDIA,28812391.0,93.0,No,No,No,,,,,,,,Yes,,,,,
79,BARBEQUE,16544.0,976.0,No,No,No,,,,,,,,,,,,,
80,BASF,7801.0,2777.0,No,No,Yes,,,,,,,,Yes,,,,,
81,BATAINDIA,204733.0,1645.0,No,No,No,,,,,,,,,,,,,
82,BAYERCROP,11565.0,4849.0,No,No,Yes,,,,,,,,Yes,,,,,
83,BBTC,30185.0,925.0,No,No,No,,,,,,,,,,,,,
84,BCG,52086289.0,28.0,No,No,No,,,,,,,,Yes,,,,,
85,BDL,246575.0,944.0,Yes,Yes,No,,,,,,,,Yes,,,,,
86,BECTORFOOD,79401.0,433.0,No,Yes,No,,,,,,,,Yes,,,,,
87,BEL,8833451.0,100.0,No,No,No,,,,,,,,,,,,,
88,BEML,80468.0,1522.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 1561,21,,
89,BEPL,9534822.0,121.0,No,No,No,,,,,,,Yes,,,Today wait for breakout of resistance => 121.6500015258789,63,,
90,BERGEPAINT,333536.0,579.0,No,No,No,,,,,,,,,,,,,Yes
91,BESTAGRO,27674.0,1533.0,Yes,Yes,No,,,,,,,,Yes,,,,,
92,BFUTILITIE,1137598.0,418.0,No,No,No,,,,,,,Yes,,,,,,
93,BHARATFORG,473048.0,878.0,No,Yes,Yes,,,,,,,,,,,,,
94,BHARATRAS,745.0,9884.0,No,No,No,,,,,,,,,,,,,Yes
95,BHARTIARTL,1717487.0,817.0,No,Yes,No,,,,,,,,,,,,,
96,BHEL,14554865.0,80.0,No,No,No,,,,,,,,,,,,,
97,BIOCON,1276513.0,263.0,No,No,No,,,,,,,,,,,,,
98,BIRLACORPN,57511.0,988.0,No,No,Yes,,,,,,,,,,,,,
99,BLS,605025.0,171.0,No,No,No,,,,,,,,,,,,,
100,BLUEDART,25813.0,7814.0,Yes,No,Yes,,,,,,,Yes,,,,,,
101,BLUESTARCO,276452.0,1204.0,No,Yes,Yes,,,,,,,,Yes,,,,,
102,BOMDYEING,757360.0,80.0,No,No,No,,,,,,,,,,,,,
103,BOROLTD,134939.0,378.0,No,No,No,,,,,,,Yes,,,,,,
104,BORORENEW,138891.0,512.0,No,No,No,,,,,,,,,,,,,Yes
105,BOSCHLTD,6875.0,17133.0,No,Yes,Yes,,,,,,,,,,,,,
106,BPCL,2631494.0,336.0,No,No,No,,,,,,,,Yes,,,,,
107,BRIGADE,149011.0,466.0,No,No,No,,,,,,,,Yes,,,,,
108,BRITANNIA,496956.0,4241.0,No,Yes,Yes,,,,,,,,Yes,,,,Yes,
109,BSE,419224.0,565.0,No,No,No,,,,,,,,Yes,,,,,
110,BSOFT,2514659.0,299.0,No,No,No,,,,,,,Yes,,,,,,
111,BUTTERFLY,2643.0,1568.0,Yes,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 1588,,,
112,CAMLINFINE,314946.0,161.0,No,No,No,,,,,,,,Yes,,,,,
113,CAMPUS,114100.0,411.0,,No,No,,,,,,,,,,,,,
114,CAMS,39310.0,2214.0,No,No,No,,,,,,,,Yes,,,,,
115,CANBK,11332429.0,336.0,No,Yes,No,,,,,,,Yes,,,,63,,
116,CANFINHOME,500175.0,548.0,No,No,No,,,,,,,,Yes,,,63,,
117,CAPLIPOINT,10757.0,724.0,No,No,No,,,,,,,,Yes,,,,,
118,CARBORUNIV,41090.0,888.0,No,No,Yes,,,,,,,,Yes,,,,,
119,CARERATING,113062.0,617.0,No,No,Yes,,,,,,,,Yes,,,,,
120,CARTRADE,58904.0,482.0,No,No,No,,,,,,,Yes,,,,,,
121,CARYSIL,63276.0,469.0,No,No,No,,,,,,,,Yes,,,,Yes,
122,CASTROLIND,304260.0,125.0,No,No,No,,,,,,,,,,,,,
123,CCL,130266.0,541.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 561,,,
124,CDSL,197685.0,1153.0,No,No,No,,,,,,,,Yes,,,,,
125,CEATLTD,62321.0,1637.0,No,Yes,No,,,,,,,,,,Before wait for breakout of resistance => 1706,,,Yes
126,CENTRALBK,17751637.0,32.0,No,No,No,,,,,,,,,,,,,
127,CENTURYPLY,60425.0,516.0,No,No,No,,,,,,,,,,,,,
128,CENTURYTEX,27602.0,726.0,No,No,No,,,,,,,,,,,,,
129,CERA,4068.0,5271.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 5506,,,
130,CESC,1279369.0,77.0,No,No,No,,,,,,,,,,,,,
131,CGCL,106521.0,756.0,No,No,No,,,,,,,,Yes,,,,,Yes
132,CGPOWER,752762.0,274.0,No,No,No,,,,,,,,Yes,,,,,
133,CHALET,52548.0,351.0,No,No,No,,,,,,,,Yes,,,,,
134,CHAMBLFERT,782245.0,314.0,No,No,No,,,,,,,,Yes,,,63,,
135,CHEMPLASTS,909812.0,463.0,No,No,Yes,,,,,,,Yes,,,,63,,
136,CHENNPETRO,640343.0,208.0,No,No,No,,,,,,,,,,,,,
137,CHOICEIN,33166.0,257.0,,No,No,,,,,,,Yes,,,,21,,
138,CHOLAFIN,572611.0,728.0,No,No,No,,,,,,,,,,,,,
139,CHOLAHLDNG,28441.0,559.0,No,No,No,,,,,,,,,,,,,
140,CIGNITITEC,137027.0,566.0,No,No,No,,,,,,,Yes,,,,,,
141,CIPLA,952186.0,1075.0,No,No,No,,,,,,,,,,,,,Yes
142,CLEAN,27729.0,1488.0,No,No,No,,,,,,,,Yes,,,,,
143,CMSINFO,194674.0,311.0,No,Yes,No,,,,,,,,Yes,,Before wait for breakout of resistance => 333,,,
144,COALINDIA,3639237.0,224.0,No,No,No,,,,,,,,,,,,,
145,COCHINSHIP,1849378.0,534.0,No,Yes,No,,,,,,,,Yes,,,,,Yes
146,COFORGE,319379.0,4019.0,No,Yes,No,,,,,,,Yes,,,,63,,
147,COLPAL,203428.0,1517.0,No,No,No,,,,,,,,,,,,Yes,
148,CONCOR,938716.0,744.0,No,Yes,No,,,,,,,Yes,,,,,,
149,CONFIPET,2903114.0,81.0,No,No,No,,,,,,,Yes,,,,,,
150,COROMANDEL,335342.0,900.0,No,No,No,,,,,,,,,,,,,
151,COSMOFIRST,54955.0,781.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 827,,,
152,CRAFTSMAN,64512.0,3574.0,Yes,Yes,Yes,,,,,,,,Yes,,,,,
153,CREDITACC,67865.0,891.0,Yes,No,No,,,,,,,,,,,,,
154,CRISIL,24349.0,2951.0,Yes,No,No,,,,,,,,Yes,,,,,
155,CROMPTON,728383.0,347.0,No,No,No,,,,,,,,Yes,,,,,
156,CSBBANK,7945756.0,251.0,No,No,Yes,,,,,,,Yes,,Yes,,63,,
157,CUB,1748655.0,178.0,No,No,No,,,,,,,,,,,,,
158,CUMMINSIND,362933.0,1395.0,Yes,Yes,Yes,,,,,,,,,,,,,
159,CYIENT,67779.0,820.0,No,No,No,,,,,,,,,,,,,
160,DAAWAT,1840762.0,119.0,No,No,No,,,,,,,Yes,,,,63,,
161,DABUR,904002.0,560.0,No,No,No,,,,,,,,,,,,,
162,DALBHARAT,114481.0,1872.0,No,Yes,Yes,,,,,,,,Yes,,,,,
163,DALMIASUG,98467.0,388.0,No,No,Yes,,,,,,,,Yes,,Before wait for breakout of resistance => 418,,,
164,DATAMATICS,61330.0,283.0,No,No,No,,,,,,,,,,,,,
165,DATAPATTNS,103760.0,1138.0,No,Yes,No,,,,,,,,,,,,,
166,DBL,1885371.0,223.0,No,No,No,,,,,,,,Yes,,Today wait for breakout of resistance => 223.39999389648438,63,,
167,DBREALTY,166824.0,93.0,No,No,No,,,,,,,,,,,,,
168,DCAL,723630.0,94.0,No,No,No,,,,,,,Yes,,,,,,
169,DCBBANK,2254201.0,130.0,No,No,No,,,,,,,Yes,,,,,,
170,DCMSHRIRAM,8190.0,894.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 911,,,
171,DEEPAKFERT,338323.0,693.0,Yes,No,No,,,,,,,,,,,,,
172,DEEPAKNTR,216823.0,1998.0,No,Yes,No,,,,,,,,,,,,,
173,DELHIVERY,336541.0,337.0,,No,No,,,,,,,,,,,,,
