,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout
308,HSCL,936990.0,99.0,No,No,No,,,,,,,,Yes,,,,,
309,HUDCO,7581775.0,53.0,No,No,No,,,,,,,,Yes,,,,,
310,IBREALEST,5365187.0,83.0,No,No,No,,,,,,,,Yes,,,,,
311,IBULHSGFIN,13657223.0,150.0,No,No,No,,,,,,,,Yes,,,,,
312,ICICIBANK,5846160.0,901.0,No,No,No,,,,,,,,,,,,,
313,ICICIGI,1324002.0,1267.0,No,No,Yes,,,,,,,Yes,,,,21,,
314,ICICIPRULI,4107703.0,468.0,No,No,No,,,,,,,Yes,,,,,,
315,ICIL,1096602.0,141.0,No,No,No,,,,,,,Yes,,,Today wait for breakout of resistance => 141.0500030517578,63,,Yes
316,ICRA,29070.0,4929.0,Yes,Yes,Yes,,,,,,,Yes,,,Before wait for breakout of resistance => 5155,,,
317,IDBI,10000026.0,55.0,No,No,No,,,,,,,,Yes,,,,,
318,IDEA,108153946.0,7.0,No,No,No,,,,,,,,,,,,,
319,IDFC,7830025.0,84.0,No,No,No,,,,,,,,Yes,,,63,,
320,IDFCFIRSTB,38932324.0,61.0,No,No,No,,,,,,,,Yes,,,,,
321,IEX,3717628.0,142.0,No,No,No,,,,,,,,Yes,,,,,
322,IFBIND,39846.0,935.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 1084,,,
323,IFCI,20363250.0,14.0,No,No,No,,,,,,,,,,,63,,
324,IGL,1123043.0,419.0,No,No,No,,,,,,,,,,,,,
325,IGPL,32989.0,525.0,No,No,No,,,,,,,Yes,,,,,,Yes
326,IIFL,203160.0,466.0,No,Yes,Yes,,,,,,,,,,,,,
327,IIFLSEC,241607.0,66.0,No,No,No,,,,,,,,Yes,,,,,
328,IIFLWAM,37723.0,1775.0,No,Yes,No,,,,,,,,,,Before wait for breakout of resistance => 1815,,,
329,IMFA,234768.0,279.0,No,No,No,,,,,,,Yes,,,,63,,
330,INDHOTEL,1658107.0,320.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 321,,,
331,INDIACEM,1735234.0,222.0,No,No,No,,,,,,,,,,,,,
332,INDIAGLYCO,15947.0,775.0,No,No,No,,,,,,,,Yes,,,,,
333,INDIAMART,20726.0,4351.0,No,No,No,,,,,,,,Yes,,,,,
334,INDIANB,1965006.0,296.0,No,Yes,No,,,,,,,,Yes,,,,,
335,INDIGO,321586.0,2040.0,No,No,Yes,,,,,,,,Yes,,,,,
336,INDIGOPNTS,14222.0,1308.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 1430,,,
337,INDOCO,75448.0,410.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 415,,,
338,INDORAMA,83926.0,59.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 64,,,
339,INDOSTAR,35910.0,161.0,No,No,No,,,,,,,Yes,,,,,,
340,INDUSINDBK,2194830.0,1240.0,No,No,Yes,,,,,,,,Yes,,,63,,
341,INDUSTOWER,878615.0,189.0,No,No,No,,,,,,,,,,,,Yes,
342,INEOSSTYRO,51670.0,799.0,No,No,No,,,,,,,Yes,,,,,,
343,INFIBEAM,8684851.0,16.0,No,No,No,,,,,,,,,,,,,
344,INFY,4550173.0,1522.0,No,Yes,No,,,,,,,,,,,,,
345,INGERRAND,9777.0,1928.0,Yes,Yes,No,,,,,,,,,,,,,
346,INOXLEISUR,227093.0,497.0,No,No,No,,,,,,,,,,,,,
347,INOXWIND,289843.0,108.0,No,No,No,,,,,,,,,,,,Yes,
348,INTELLECT,291810.0,447.0,No,No,No,,,,,,,,Yes,,,,,
349,IOB,83019250.0,32.0,No,No,No,,,,,,,,Yes,,,,,
350,IOC,11485237.0,78.0,No,No,No,,,,,,,,Yes,,,,,
351,IOLCP,637241.0,371.0,No,No,Yes,,,,,,,,Yes,,Before wait for breakout of resistance => 399,,,Yes
352,IONEXCHANG,14257.0,2777.0,No,Yes,Yes,,,,,,,,Yes,,,,,
353,IPCALAB,239475.0,849.0,No,No,No,,,,,,,,,,,,,Yes
354,IPL,82962.0,249.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 263,,,Yes
355,IRB,8845505.0,314.0,No,No,Yes,,,,,,,Yes,,,,63,,
356,IRCON,10154060.0,60.0,No,No,No,,,,,,,,Yes,,,,,Yes
357,IRCTC,2364166.0,644.0,No,No,No,,,,,,,,,,,,,
358,IRFC,84788891.0,33.0,No,No,No,,,,,,,,Yes,,,63,,
359,ISEC,237532.0,502.0,No,No,No,,,,,,,,,,,,,Yes
360,ISGEC,60871.0,479.0,No,No,No,,,,,,,,Yes,,,,,Yes
361,ITC,5993839.0,331.0,No,No,No,,,,,,,,,,,,,
362,ITI,196896.0,105.0,No,No,No,,,,,,,,,,,,,
363,J&KBANK,10545221.0,57.0,No,No,No,,,,,,,,Yes,,,,,
364,JAICORPLTD,1140281.0,151.0,No,No,No,,,,,,,,,,,,,
365,JAMNAAUTO,255745.0,105.0,No,No,No,,,,,,,,,,,,,
366,JBCHEPHARM,20798.0,1982.0,No,Yes,No,,,,,,,,,,,,,
367,JBMA,236029.0,517.0,No,No,Yes,,,,,,,,Yes,,,,,
368,JCHAC,54882.0,1139.0,No,No,No,,,,,,,Yes,,,,,,
369,JINDALPOLY,41604.0,783.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 873,,,Yes
370,JINDALSAW,4025162.0,110.0,No,No,No,,,,,,,Yes,,,,63,,
371,JINDALSTEL,4002411.0,598.0,No,Yes,Yes,,,,,,,,Yes,,,63,,
372,JINDWORLD,106760.0,435.0,No,Yes,Yes,,,,,,,,Yes,,,,,
373,JISLJALEQS,1127306.0,33.0,No,No,No,,,,,,,,,,,,,Yes
374,JKCEMENT,54911.0,2964.0,No,Yes,Yes,,,,,,,,,,,,,
375,JKIL,175916.0,283.0,No,No,No,,,,,,,,Yes,,,63,,
376,JKLAKSHMI,305543.0,787.0,No,Yes,Yes,,,,,,,,,,,,,
377,JKPAPER,358105.0,416.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 439,,,
378,JKTYRE,669066.0,188.0,No,No,No,,,,,,,,,,,,,
379,JMFINANCIL,888856.0,73.0,No,No,No,,,,,,,,,,,,,
380,JPASSOCIAT,14348284.0,10.0,No,No,No,,,,,,,,,,,,,
381,JPPOWER,37452508.0,7.0,No,No,No,,,,,,,,,,,,,
382,JSL,2168528.0,248.0,No,Yes,Yes,,,,,,,,Yes,,,,,
383,JSWENERGY,365468.0,289.0,No,No,No,,,,,,,,Yes,,,,,
384,JSWISPL,690505.0,32.0,No,No,No,,,,,,,,Yes,,,,,
385,JSWSTEEL,1635609.0,767.0,No,Yes,Yes,,,,,,,,Yes,,,,,
386,JUBLFOOD,1233620.0,507.0,No,No,No,,,,,,,,,,,,,Yes
387,JUBLINGREA,154775.0,534.0,No,No,No,,,,,,,,,,,,,Yes
388,JUBLPHARMA,165933.0,359.0,No,Yes,No,,,,,,,,,,Before wait for breakout of resistance => 406,,,
389,JUSTDIAL,97688.0,601.0,No,No,No,,,,,,,,Yes,,,,,
390,JYOTHYLAB,131924.0,204.0,No,No,No,,,,,,,,,,,,,
391,KAJARIACER,40171.0,1150.0,No,No,Yes,,,,,,,,Yes,,,,,
392,KALPATPOWR,275518.0,569.0,No,Yes,Yes,,,,,,,,Yes,,,63,,
393,KALYANKJIL,2285043.0,124.0,No,No,Yes,,,,,,,,Yes,,,,,
394,KANSAINER,141964.0,428.0,No,No,No,,,,,,,,Yes,,,,,
395,KARURVYSYA,7275003.0,112.0,No,No,No,,,,,,,Yes,,,,,,Yes
396,KCP,89772.0,113.0,No,No,No,,,,,,,,,,,,,
397,KEC,306544.0,474.0,No,No,Yes,,,,,,,,,,Before wait for breakout of resistance => 479,,,
398,KEI,115418.0,1515.0,Yes,Yes,No,,,,,,,,Yes,,,,,
399,KENNAMET,6698.0,2294.0,Yes,No,No,,,,,,,,,,,,,
400,KIMS,26499.0,1507.0,No,Yes,No,,,,,,,,Yes,,Before wait for breakout of resistance => 1610,,,
401,KIRIINDUS,38867.0,471.0,No,No,No,,,,,,,,,,,,,Yes
402,KIRLFER,205184.0,365.0,No,Yes,Yes,,,,,,,,Yes,,,,,
403,KIRLOSENG,184052.0,316.0,No,Yes,No,,,,,,,,,,,,,
404,KNRCON,592453.0,266.0,No,No,No,,,,,,,Yes,,,,63,,
405,KOLTEPATIL,105649.0,269.0,No,No,No,,,,,,,,,,,,,
406,KOTAKBANK,1663289.0,1832.0,No,No,No,,,,,,,,,,,,,
407,KPITTECH,523379.0,691.0,No,Yes,No,,,,,,,,,,,,,
408,KPRMILL,171327.0,517.0,No,No,No,,,,,,,,Yes,,,,,
409,KRBL,184542.0,393.0,No,Yes,No,,,,,,,,,,,,,
410,KRSNAA,28872.0,457.0,No,No,No,,,,,,,,,,,,,
411,KSB,7003.0,1904.0,Yes,No,No,,,,,,,,Yes,,,,,
412,KSCL,37451.0,512.0,No,Yes,Yes,,,,,,,,,,,,Yes,
413,KTKBANK,3781803.0,158.0,No,Yes,No,,,,,,,Yes,,,,,,
414,L&TFH,8118831.0,90.0,No,No,No,,,,,,,,Yes,,,,,
415,LALPATHLAB,281914.0,2239.0,No,No,No,,,,,,,,,,,,,Yes
416,LAOPALA,61390.0,384.0,No,Yes,No,,,,,,,,,,,,,
417,LATENTVIEW,168465.0,370.0,No,No,No,,,,,,,,Yes,,,21,,
418,LAURUSLABS,1430946.0,377.0,No,No,No,,,,,,,,,,,,,Yes
419,LAXMIMACH,2307.0,12168.0,Yes,Yes,No,,,,,,,,,,,,,
420,LEMONTREE,1374129.0,83.0,No,No,No,,,,,,,,Yes,,,,,
421,LGBBROSLTD,123806.0,724.0,No,No,No,,,,,,,Yes,,,,,,
422,LICHSGFIN,1101931.0,421.0,No,No,Yes,,,,,,,,Yes,,,,,
423,LICI,4839377.0,734.0,,No,Yes,,,,,,,Yes,,,,,,
424,LINDEINDIA,24779.0,3482.0,Yes,No,Yes,,,,,,,,Yes,,,,,
425,LODHA,73678.0,1091.0,No,No,Yes,,,,,,,,Yes,,,,,
426,LT,1259698.0,2088.0,No,Yes,Yes,,,,,,,,,,,,Yes,
427,LTIM,190823.0,4349.0,No,Yes,No,,,,,,,,,,,,,Yes
428,LTTS,201363.0,3707.0,No,Yes,No,,,,,,,,,,Before wait for breakout of resistance => 4159,,,
429,LUPIN,631501.0,737.0,No,Yes,No,,,,,,,,,,,,,Yes
430,LUXIND,17204.0,1654.0,No,No,No,,,,,,,,Yes,,,,,
431,LXCHEM,321061.0,299.0,No,No,No,,,,,,,,,,,,,
432,M&M,1510545.0,1249.0,Yes,No,No,,,,,,,,,,,,,
433,M&MFIN,11104923.0,234.0,No,No,No,,,,,,,Yes,,,,,Yes,
434,MAHABANK,54872789.0,32.0,No,No,No,,,,,,,,Yes,,,,,
435,MAHINDCIE,526304.0,337.0,No,No,Yes,,,,,,,,Yes,,,,,
436,MAHLIFE,49342.0,365.0,No,No,No,,,,,,,,,,,,,
437,MAHLOG,38071.0,503.0,No,No,No,,,,,,,,Yes,,,,,
438,MAHSCOOTER,3053.0,4689.0,No,Yes,No,,,,,,,,Yes,,,,,
439,MAHSEAMLES,493635.0,334.0,No,No,No,,,,,,,Yes,,,,,,
440,MAITHANALL,119500.0,1092.0,No,No,Yes,,,,,,,Yes,,,,63,,
441,MANALIPETC,311549.0,82.0,No,No,No,,,,,,,,Yes,,,,,
442,MANAPPURAM,12926609.0,122.0,No,No,No,,,,,,,Yes,,,,63,,
443,MANINFRA,242156.0,75.0,No,No,No,,,,,,,,,,,,,
444,MANYAVAR,63878.0,1333.0,No,No,No,,,,,,,,Yes,,,,,
445,MAPMYINDIA,102467.0,1055.0,No,No,No,,,,,,,,Yes,,,,,
446,MARICO,490250.0,510.0,No,No,Yes,,,,,,,,,,,,,Yes
447,MARKSANS,960820.0,59.0,No,No,No,,,,,,,,,,,,,
448,MARUTI,493182.0,8382.0,Yes,No,No,,,,,,,,Yes,,,,,
449,MASFIN,67967.0,829.0,No,Yes,No,,,,,,,Yes,,,,,,
450,MASTEK,19240.0,1709.0,No,No,Yes,,,,,,,,,,,,,
451,MATRIMONY,5253.0,590.0,No,No,No,,,,,,,,Yes,,,,,
452,MAXHEALTH,396310.0,446.0,No,No,No,,,,,,,,Yes,,,,,
453,MAYURUNIQ,32898.0,423.0,No,No,No,,,,,,,,Yes,,,,,Yes
454,MAZDOCK,9015403.0,834.0,No,Yes,No,,,,,,,Yes,,,,63,,
455,MCDOWELL-N,750409.0,865.0,No,Yes,No,,,,,,,,,,,,Yes,
456,MCX,1092179.0,1478.0,No,Yes,Yes,,,,,,,,Yes,,,,,Yes
457,MEDPLUS,39246.0,619.0,No,No,No,,,,,,,,,,,,,
458,METROBRAND,142072.0,873.0,No,No,Yes,,,,,,,,Yes,,,,,
459,METROPOLIS,445207.0,1366.0,No,No,No,,,,,,,,Yes,,,,,
460,MFL,54749.0,1191.0,No,No,No,,,,,,,,Yes,,,,,
461,MFSL,1518009.0,709.0,No,No,Yes,,,,,,,Yes,,,,,,
462,MGL,273550.0,856.0,No,No,No,,,,,,,,,,,,,
463,MHRIL,115020.0,268.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 290,,,
464,MIDHANI,375426.0,222.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 251,,,
465,MINDACORP,161746.0,204.0,No,No,No,,,,,,,,,,,,,
466,MMFL,33914.0,829.0,No,No,No,,,,,,,,Yes,,,,,
467,MMTC,1585397.0,38.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 41,,,
468,MOIL,408118.0,170.0,No,No,No,,,,,,,,Yes,,,63,,
469,MOL,467548.0,111.0,No,No,No,,,,,,,,Yes,,,,,
470,MOLDTKPAC,87043.0,989.0,No,No,Yes,,,,,,,Yes,,,,63,,
471,MOREPENLAB,7025182.0,35.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 42,,,
472,MOTHERSON,7237906.0,76.0,No,No,No,,,,,,,,Yes,,,,,
473,MOTILALOFS,396584.0,711.0,No,No,Yes,,,,,,,Yes,,,,,,
474,MPHASIS,390417.0,2004.0,No,No,No,,,,,,,,Yes,,,,,
475,MRF,4793.0,88876.0,Yes,Yes,No,,,,,,,,Yes,,,,,
476,MRPL,1920520.0,57.0,No,No,No,,,,,,,,,,,,,
477,MSTCLTD,213303.0,302.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 338,,,
478,MSUMI,5929775.0,57.0,,No,No,,,,,,,,Yes,,,,Yes,
479,MTARTECH,72221.0,1600.0,No,No,Yes,,,,,,,,,,Before wait for breakout of resistance => 1737,,,
480,MUTHOOTFIN,302072.0,1087.0,No,Yes,No,,,,,,,,Yes,,,,,
481,NAM-INDIA,520891.0,253.0,No,No,No,,,,,,,,Yes,,,,,
482,NATCOPHARM,181198.0,563.0,No,No,No,,,,,,,,Yes,,,,,
483,NATIONALUM,12995078.0,83.0,No,No,No,,,,,,,,Yes,,,,,
484,NAUKRI,209479.0,3917.0,No,No,Yes,,,,,,,,,,,,,
485,NAVA,1261569.0,256.0,No,No,Yes,,,,,,,,Yes,,,,,
486,NAVINFLUOR,90401.0,4034.0,Yes,No,No,,,,,,,,,,,,,
487,NAVNETEDUL,104212.0,121.0,No,No,No,,,,,,,,,,,,,
488,NAZARA,354003.0,611.0,No,No,No,,,,,,,Yes,,,,,,
489,NBCC,6950062.0,41.0,No,No,No,,,,,,,,Yes,,,63,,
490,NCC,8298667.0,90.0,No,No,No,,,,,,,,Yes,,,,,
491,NEOGEN,37578.0,1249.0,No,No,No,,,,,,,Yes,,,,,,Yes
492,NESCO,46811.0,618.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 642,,,
493,NESTLEIND,31393.0,19727.0,No,Yes,Yes,,,,,,,,,,,,,Yes
494,NETWORK18,1051165.0,66.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 73,,,
495,NEULANDLAB,55185.0,1714.0,No,Yes,No,,,,,,,Yes,,,Before wait for breakout of resistance => 1938,,,Yes
496,NEWGEN,207729.0,375.0,No,No,No,,,,,,,Yes,,,,21,,
497,NFL,7669297.0,72.0,No,No,No,,,,,,,,Yes,,,,,
498,NH,64812.0,749.0,No,No,No,,,,,,,,,,,,,Yes
499,NHPC,3761723.0,39.0,No,No,No,,,,,,,,,,,,,
500,NIACL,4482624.0,131.0,No,No,Yes,,,,,,,,Yes,,,63,,
501,NLCINDIA,1713800.0,86.0,No,No,No,,,,,,,,,,,,,
502,NOCIL,636667.0,243.0,No,No,No,,,,,,,Yes,,,,,,
503,NRBBEARING,399528.0,158.0,No,No,No,,,,,,,Yes,,,,63,,
504,NTPC,9624595.0,167.0,No,No,No,,,,,,,,,,,,,
505,NUVOCO,126049.0,370.0,No,No,No,,,,,,,,,,,,,
506,NYKAA,3641115.0,153.0,No,No,No,,,,,,,,,,,,,
507,OBEROIRLTY,242670.0,877.0,No,No,No,,,,,,,,Yes,,,,,
508,OFSS,92083.0,2999.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 3218,,Yes,
509,OIL,682769.0,211.0,No,No,No,,,,,,,,Yes,,,,,
510,OLECTRA,134568.0,515.0,No,No,No,,,,,,,,,,,,,
511,OMAXE,43647.0,72.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 78,,,Yes
512,ONGC,14990122.0,149.0,No,No,No,,,,,,,Yes,,,,,,
513,OPTIEMUS,118464.0,308.0,No,No,Yes,,,,,,,,,,,,,Yes
514,ORIENTCEM,991630.0,131.0,No,No,No,,,,,,,Yes,,,,,,Yes
515,ORIENTELEC,173896.0,262.0,No,No,No,,,,,,,,Yes,,,,,Yes
516,ORISSAMINE,1532.0,2941.0,No,No,Yes,,,,,,,,,,,,,
517,PAGEIND,16769.0,42166.0,Yes,No,No,,,,,,,,,,,,,Yes
518,PAISALO,856992.0,78.0,No,No,No,,,,,,,,,,,,,
519,PANAMAPET,69750.0,353.0,No,Yes,No,,,,,,,,Yes,,Before wait for breakout of resistance => 406,,,
520,PARADEEP,1553132.0,59.0,,No,No,,,,,,,,Yes,,,,,
521,PARAS,67549.0,593.0,No,No,No,,,,,,,,,,,,,
522,PATANJALI,168155.0,1221.0,No,No,No,,,,,,,,Yes,,,,,
523,PAYTM,1210847.0,535.0,No,No,No,,,,,,,,Yes,,,,,
524,PCBL,437658.0,131.0,No,No,No,,,,,,,,,,,,,
525,PDSL,33344.0,350.0,No,No,No,,,,,,,,Yes,,,,,
526,PERSISTENT,394674.0,4048.0,No,Yes,Yes,,,,,,,Yes,,,,,,
527,PETRONET,1173254.0,216.0,No,No,No,,,,,,,,Yes,,,,,
528,PFC,30687824.0,156.0,No,No,No,,,,,,,Yes,,,,63,,
529,PFIZER,4820.0,4393.0,No,Yes,No,,,,,,,,,,,,,
530,PGHH,11326.0,13933.0,No,No,Yes,,,,,,,,Yes,,,,,
531,PGHL,7684.0,4071.0,No,No,No,,,,,,,,,,,,,
532,PHOENIXLTD,103653.0,1431.0,Yes,Yes,No,,,,,,,,Yes,,,21,,
533,PIDILITIND,321659.0,2537.0,No,No,No,,,,,,,,Yes,,,,,Yes
534,PIIND,274339.0,3413.0,No,Yes,Yes,,,,,,,,,,Before wait for breakout of resistance => 3623,,,Yes
535,PNB,78519939.0,57.0,No,No,No,,,,,,,,Yes,,,63,,
536,PNBHOUSING,3761580.0,573.0,No,Yes,Yes,,,,,,,Yes,,,,,,
537,PNCINFRA,1833851.0,307.0,No,No,No,,,,,,,Yes,,,,,,
538,POKARNA,21960.0,380.0,No,No,No,,,,,,,,,,,,,
539,POLICYBZR,973467.0,453.0,No,No,Yes,,,,,,,,,,,,,
540,POLYCAB,132625.0,2590.0,No,Yes,Yes,,,,,,,,,,,,,
541,POLYMED,15327.0,906.0,No,Yes,No,,,,,,,,Yes,,Before wait for breakout of resistance => 1031,,,
542,POLYPLEX,38986.0,1593.0,Yes,No,No,,,,,,,,,,,,,
543,POONAWALLA,2430680.0,303.0,No,No,No,,,,,,,,Yes,,,,,
544,POWERGRID,2154188.0,215.0,No,No,No,,,,,,,,,,,,,
545,POWERINDIA,27286.0,3371.0,Yes,No,Yes,,,,,,,,Yes,,,,,
546,PRAJIND,784980.0,366.0,No,No,No,,,,,,,,Yes,,,,,
547,PRESTIGE,203451.0,469.0,No,No,No,,,,,,,,Yes,,,,,
548,PRINCEPIPE,84065.0,598.0,No,No,Yes,,,,,,,,Yes,,,,,
549,PRIVISCL,10559.0,1146.0,No,No,No,,,,,,,,,,,,,
550,PRSMJOHNSN,256930.0,103.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 129,,,
551,PRUDENT,109342.0,1049.0,,Yes,Yes,,,,,,,Yes,,,,,,
552,PSPPROJECT,702854.0,716.0,No,No,Yes,,,,,,,Yes,,,,63,,
553,PVR,118650.0,1714.0,Yes,No,No,,,,,,,,,,,,,
554,QUESS,149077.0,409.0,No,No,No,,,,,,,,,,,,,
555,RADICO,224991.0,1043.0,No,No,No,,,,,,,Yes,,,,,,
556,RAILTEL,1442013.0,128.0,No,No,No,,,,,,,,Yes,,,,,
557,RAIN,1967486.0,179.0,No,No,No,,,,,,,Yes,,,,,,
558,RAINBOW,282581.0,779.0,,Yes,No,,,,,,,Yes,,,,,,
559,RAJESHEXPO,553110.0,749.0,No,Yes,No,,,,,,,Yes,,,,,,
560,RAJRATAN,31199.0,883.0,No,No,No,,,,,,,,Yes,,,,,
561,RALLIS,162498.0,243.0,No,No,No,,,,,,,,,,,,,
562,RAMCOCEM,787684.0,713.0,No,No,Yes,,,,,,,Yes,,,,63,,
563,RATEGAIN,366227.0,295.0,No,No,No,,,,,,,Yes,,,,,,
564,RATNAMANI,25197.0,2020.0,Yes,No,No,,,,,,,Yes,,,,,,
565,RAYMOND,363956.0,1495.0,Yes,Yes,Yes,,,,,,,,Yes,,Before wait for breakout of resistance => 1608,,,
566,RBA,216042.0,113.0,No,No,No,,,,,,,,,,,,,
567,RBLBANK,17645663.0,186.0,No,No,No,,,,,,,Yes,,,,63,,
568,RCF,6175073.0,130.0,No,No,No,,,,,,,,Yes,,,,,
569,RECLTD,27506440.0,123.0,No,No,No,,,,,,,Yes,,,,63,,
570,REDINGTON,4254906.0,190.0,No,No,No,,,,,,,Yes,,,,,,
571,RELAXO,73947.0,900.0,No,No,No,,,,,,,,,,,,,
572,RELIANCE,3532428.0,2557.0,No,Yes,No,,,,,,,,,,,,,
573,RELIGARE,1725260.0,179.0,No,No,No,,,,,,,Yes,,,,,,Yes
574,RELINFRA,788196.0,138.0,No,No,No,,,,,,,,,,,,,
575,RENUKA,7947146.0,58.0,No,No,No,,,,,,,,Yes,,,,,Yes
576,RESPONIND,32376.0,120.0,No,No,No,,,,,,,,,,,,,
577,RHIM,281809.0,864.0,Yes,Yes,Yes,,,,,,,,Yes,,,,,
578,RITES,445521.0,337.0,No,Yes,No,,,,,,,,,,,,,
579,RKFORGE,177607.0,261.0,No,No,Yes,,,,,,,,Yes,,,,,
580,ROLEXRINGS,16017.0,1767.0,No,No,No,,,,,,,,,,,,Yes,
581,ROSSARI,21349.0,726.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 754,,,
582,ROUTE,69750.0,1219.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 1353,,,
583,RPOWER,11826529.0,14.0,No,No,No,,,,,,,,,,,,,
584,RPSGVENT,26173.0,453.0,No,No,No,,,,,,,,Yes,,,,,
585,RTNINDIA,952038.0,43.0,No,No,No,,,,,,,,,,,,,
586,RTNPOWER,2741151.0,4.0,No,No,No,,,,,,,,,,,,,
587,RUPA,50932.0,282.0,No,No,No,,,,,,,,,,,,,
588,RVNL,21671703.0,71.0,No,No,No,,,,,,,Yes,,,,63,,
589,SAFARI,8146.0,1689.0,Yes,Yes,No,,,,,,,,Yes,,,,,
590,SAGCEM,53276.0,238.0,No,No,Yes,,,,,,,,,,,,,
591,SAIL,37845189.0,88.0,No,No,No,,,,,,,Yes,,,,,,
592,SANOFI,5064.0,5805.0,No,No,Yes,,,,,,,,,,,,,
593,SANSERA,61686.0,763.0,No,Yes,No,,,,,,,,Yes,,,,,
594,SAPPHIRE,37316.0,1326.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 1397,,,Yes
595,SARDAEN,80759.0,1117.0,No,Yes,Yes,,,,,,,Yes,,,,63,,
596,SBCL,38811.0,398.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 418,,,
597,SBICARD,1083481.0,792.0,No,No,No,,,,,,,,,,,,Yes,
598,SBILIFE,1871260.0,1268.0,No,No,No,,,,,,,Yes,,,,63,,
599,SBIN,6816158.0,612.0,No,Yes,No,,,,,,,,Yes,,,63,,
600,SCHAEFFLER,64268.0,2752.0,Yes,No,No,,,,,,,,Yes,,,,,Yes
601,SCHNEIDER,197861.0,163.0,No,No,No,,,,,,,,Yes,,,,,
602,SEAMECLTD,2636.0,891.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 1087,,,
603,SEQUENT,428640.0,87.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 94,,,
604,SFL,16314.0,1291.0,No,No,No,,,,,,,,Yes,,,,,
605,SHARDACROP,197293.0,504.0,Yes,No,Yes,,,,,,,,Yes,,,,,
606,SHAREINDIA,52215.0,1210.0,Yes,Yes,No,,,,,,,,,,Before wait for breakout of resistance => 1251,,,
607,SHILPAMED,326313.0,286.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 289,,,
608,SHK,190333.0,143.0,No,No,No,,,,,,,Yes,,,,,,
609,SHOPERSTOP,22260.0,703.0,Yes,No,No,,,,,,,,Yes,,,,,
610,SHREECEM,20747.0,23732.0,No,Yes,Yes,,,,,,,,,,,,,
611,SHRIRAMFIN,436989.0,1370.0,No,No,Yes,,,,,,,,Yes,,,,,
612,SHYAMMETL,292709.0,327.0,No,No,No,,,,,,,,Yes,,,63,,
613,SIEMENS,90679.0,2837.0,Yes,No,Yes,,,,,,,,,,Before wait for breakout of resistance => 2905,,,
614,SIS,41640.0,389.0,No,No,No,,,,,,,,Yes,,,,,
615,SIYSIL,36919.0,528.0,No,Yes,Yes,,,,,,,,,,Before wait for breakout of resistance => 537,,,
616,SJVN,3573755.0,35.0,No,No,No,,,,,,,,,,,,,
617,SKFINDIA,9248.0,4577.0,Yes,Yes,No,,,,,,,,,,,,,
618,SOBHA,118183.0,592.0,No,No,No,,,,,,,,Yes,,,,,
619,SOLARA,56498.0,438.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 461,,,
620,SOLARINDS,69527.0,4496.0,Yes,Yes,Yes,,,,,,,Yes,,,,63,,
621,SOMANYCERA,17815.0,474.0,No,No,No,,,,,,,,,,,,,
622,SONACOMS,556643.0,415.0,No,No,No,,,,,,,,,,,,,
623,SONATSOFTW,116962.0,577.0,No,No,No,,,,,,,,Yes,,,,,
624,SOUTHBANK,133169991.0,20.0,No,No,No,,,,,,,Yes,,,,,,
625,SPANDANA,41699.0,603.0,No,No,No,,,,,,,,Yes,,,21,,
626,SPARC,211001.0,210.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 215,,,
627,SPICEJET,1855914.0,38.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 42,,,
628,SPLPETRO,56683.0,797.0,No,No,No,,,,,,,Yes,,,,,,
